id,geom,Unemployment Rate,Employment Rate,Family Identity Card,Death Rate,Migration,Registered Residents,Health Facilities,Mortality,Water Access,Internet Access,Electricity Access,Income per Capita,Population,Birth Rate,Households,School Enrollment,People Density,Average Age,Vehicle Ownership,Literacy Rate
16,POINT (103.585079 -2.261436),20.82,55.54,61494,85.91,35.8,933912,424893,35.67,66.2,75.2,84.02,3494419,263083,20.91,735715,26.65,23793,29,2,34.98
17,POINT (103.153861 -3.825091),69.6,9.35,392409,20.6,56.66,391698,307103,33.16,6.53,76.61,52.68,2724744,566689,59.5,45913,66.49,5855,28,4,49.42
18,POINT (127.491228 -0.627069),50.41,91.03,120231,19.09,61.95,619922,297801,34.91,58.61,93.84,84.24,5676089,230492,39.0,940300,86.28,19703,41,2,26.81
19,POINT (113.432877 -2.956545),27.45,24.4,684767,13.05,79.47,424543,961234,79.31,63.04,58.5,60.72,1517325,350591,76.24,892229,88.73,10534,33,4,84.51
20,POINT (113.555935 -0.064509),78.13,80.88,880461,43.22,42.73,30144,513709,55.67,81.98,33.23,71.1,6816474,754557,57.77,580426,66.97,17949,66,4,99.79
21,POINT (113.398155 -0.454401),23.64,97.1,444109,11.35,72.07,230944,336759,89.82,24.94,65.7,23.67,9958115,945066,3.23,515258,5.49,12068,56,2,56.22
22,POINT (100.800210 -1.492836),5.2,12.91,17720,78.07,44.26,46958,270631,70.54,5.28,59.76,93.21,14816421,704334,46.12,567381,82.05,23768,63,2,66.18
23,POINT (119.573223 -2.718178),7.63,55.74,239686,29.54,77.52,239449,730471,10.96,70.52,53.27,43.86,8677462,83647,85.22,175074,40.11,23715,57,5,59.38
24,POINT (137.022379 -3.261811),28.15,35.82,513405,25.56,94.0,927750,54639,30.82,83.1,8.52,76.81,6894734,494837,22.91,978177,70.63,12881,28,4,84.12
25,POINT (132.267806 -1.129099),68.8,25.13,618099,67.68,50.16,206597,540946,84.78,69.38,11.43,10.21,13773770,547647,26.08,305543,28.17,2306,46,1,32.68
26,POINT (104.646521 -3.391151),1.4,33.76,995849,89.35,69.72,138936,372265,34.32,94.97,25.75,72.43,6394996,559428,36.34,512558,95.25,17998,77,0,93.78
27,POINT (117.351697 -8.976434),81.82,16.45,19554,95.94,68.81,650986,349336,89.9,7.48,44.81,13.67,9111091,208524,63.2,149370,45.42,1078,73,5,10.29
28,POINT (99.197460 0.424153),10.55,44.26,230196,59.33,96.82,626137,777649,75.69,29.87,94.2,49.62,14506415,11251,65.31,539304,93.54,21390,47,3,63.17
29,POINT (115.038166 -2.603959),41.08,52.48,266549,22.2,88.74,880509,193975,58.33,77.15,7.46,75.73,9331183,159669,36.1,71057,16.61,2080,30,2,58.64
30,POINT (124.473009 0.861750),36.83,91.75,307062,24.25,60.34,85933,597359,51.57,94.54,73.48,98.68,14201838,480768,19.29,768860,7.75,10721,47,4,8.82
31,POINT (137.720363 -4.589770),37.05,61.2,368087,70.16,21.08,905873,326487,56.05,98.56,80.14,49.4,13562202,884184,36.23,559892,11.15,3813,68,2,32.21
32,POINT (98.312298 3.309342),29.48,61.21,975979,88.94,38.31,253858,385093,71.87,46.94,27.58,84.75,4865253,926961,40.65,771236,37.68,8532,26,4,24.59
33,POINT (96.665515 2.115127),48.05,83.12,992245,32.01,6.45,375320,72678,82.13,92.36,77.7,12.08,3867817,301377,60.79,119668,7.03,3027,78,0,62.91
34,POINT (103.898094 -3.784633),33.33,8.2,813461,68.06,8.6,45701,641087,42.68,86.79,28.86,75.34,3756382,341939,21.04,84376,41.86,18155,38,5,59.03
35,POINT (131.333388 -7.834162),79.19,80.83,953623,4.45,3.72,67810,857586,60.24,55.82,90.91,82.9,5979524,329737,70.81,378352,95.78,17764,66,1,66.7
36,POINT (140.843354 -5.840531),77.69,97.77,371578,42.92,21.32,353037,845971,8.23,61.31,71.7,95.4,10510368,280884,79.77,663983,18.8,11706,43,5,74.63
37,POINT (132.804973 -1.055996),23.64,76.54,961270,80.33,5.25,172121,867494,66.66,33.34,81.51,71.45,11387839,783489,21.83,519020,19.29,19433,75,4,8.86
38,POINT (116.489536 0.921195),42.08,97.58,678917,57.99,31.39,248761,167591,23.53,64.48,65.47,0.56,12460165,324002,56.68,592615,91.05,17052,71,4,6.31
39,POINT (137.317592 -2.367154),1.32,36.31,106592,53.73,34.56,114505,736313,96.09,86.1,82.19,93.41,1084476,554410,98.03,463830,35.27,15087,21,0,9.1
40,POINT (125.273363 1.454083),19.51,9.56,853733,3.19,0.43,886847,897126,84.59,36.35,25.03,36.43,4707987,600058,14.16,629875,97.79,4604,65,4,42.64
41,POINT (103.467701 -3.564172),45.95,88.29,303735,82.6,62.42,203435,645185,15.94,47.62,58.84,98.56,2229775,714967,12.77,621110,7.84,19918,23,3,46.03
42,POINT (117.626134 1.267543),74.14,77.43,640212,8.62,66.3,130098,501567,81.09,47.54,89.08,88.1,13385226,737478,10.4,855210,91.15,23994,51,2,78.5
43,POINT (99.095121 0.842758),39.96,12.03,278824,62.89,12.49,425910,126336,47.57,63.9,67.95,99.97,2151231,152302,42.91,718964,66.68,15370,43,2,77.63
44,POINT (113.008550 -0.050526),50.93,47.93,788516,6.22,66.48,894556,797365,60.7,11.1,69.37,57.76,14521415,840782,45.85,430364,45.01,3427,21,1,50.45
45,POINT (124.872291 -8.182322),18.42,20.55,560660,28.5,59.05,114869,724760,66.81,82.99,85.66,37.63,3525521,566263,7.88,928134,40.68,24224,75,0,37.89
46,POINT (116.979553 1.001117),24.76,1.85,744306,19.59,31.12,43606,35384,61.89,63.0,88.45,22.46,13360677,559601,46.86,177193,32.17,2768,50,5,13.4
47,POINT (112.369863 -0.542741),5.41,80.18,690469,49.09,33.03,461977,432931,76.96,54.73,21.87,50.9,7249424,89272,78.33,396466,12.35,18129,26,2,44.42
48,POINT (139.412874 -4.540283),69.28,39.62,388075,45.29,31.73,545856,866769,47.99,49.24,55.88,88.43,14568704,115904,1.72,580602,48.48,9434,70,1,29.98
49,POINT (134.712359 -3.797590),41.64,92.02,121932,67.7,50.83,281301,124273,89.86,7.68,69.62,79.02,12307395,20234,73.86,486046,17.6,12981,45,3,2.23
50,POINT (119.941679 -3.714300),12.24,67.92,659129,95.07,65.1,224229,426423,16.33,12.75,42.9,93.1,4467663,661240,52.74,423160,64.54,2814,37,2,37.68
51,POINT (138.043315 -3.387365),61.44,25.53,983435,94.84,48.95,566226,485035,85.66,40.05,29.12,18.73,12458005,63256,15.4,898074,26.38,1575,44,3,17.59
52,POINT (103.820803 -3.621345),86.17,70.42,350829,12.7,3.66,631826,587474,69.19,81.28,52.85,81.24,7665576,809979,66.49,532829,10.45,4164,54,3,13.02
53,POINT (104.382452 -3.274856),82.59,22.09,648924,36.12,6.34,245891,653931,26.73,44.48,41.08,98.29,5811273,506904,93.29,525322,98.87,21525,42,4,40.66
54,POINT (127.439696 -0.490533),18.48,39.13,1902,21.85,8.65,447819,979661,93.44,83.91,83.69,83.91,4049994,893952,51.13,940116,92.94,23904,28,2,81.65
55,POINT (134.284308 -2.628906),73.25,90.57,224307,0.28,25.61,225333,330277,29.89,14.43,60.52,15.44,5547567,317657,8.18,449874,40.17,15863,41,3,99.05
56,POINT (101.474404 -0.635490),88.81,86.36,762251,81.64,5.48,901169,30805,3.47,84.76,54.38,71.41,2450734,420822,43.94,446519,84.81,15434,69,4,26.19
57,POINT (137.750981 -4.218477),2.9,61.68,282346,29.62,46.76,492670,523733,0.87,81.32,18.48,54.49,1640500,156365,34.86,648724,34.44,14629,77,1,74.48
58,POINT (132.127520 -2.842254),43.61,48.22,294775,95.06,94.15,182943,191636,50.69,22.85,52.67,74.84,11761714,961489,64.19,85621,51.89,2004,20,0,11.88
59,POINT (127.986188 -3.317397),71.52,41.87,581033,77.51,72.46,507051,191874,6.51,12.8,76.61,26.96,1802654,648740,28.5,619640,64.62,9823,45,2,77.79
60,POINT (114.156860 -2.751132),50.93,27.9,220531,45.57,29.23,429601,763675,14.23,80.2,54.18,91.41,4814344,122299,41.65,20935,21.6,17371,42,0,92.17
61,POINT (114.699383 1.186159),39.3,40.36,88407,63.44,94.66,164954,365935,41.91,25.42,43.8,45.95,10075212,678274,89.19,634160,33.84,15805,77,4,34.31
62,POINT (123.449244 -1.243981),45.81,7.33,455204,42.23,54.35,108196,542921,58.76,89.17,88.78,31.75,5185847,754278,18.86,492995,72.29,11546,39,4,42.71
63,POINT (99.858342 2.202286),52.89,60.25,908354,39.59,75.12,922809,623596,92.72,76.48,61.29,83.61,14811019,624465,73.02,692756,96.28,21041,27,5,78.8
64,POINT (101.572407 -2.522521),18.79,89.86,12366,80.1,24.9,753738,230582,14.29,57.69,4.96,94.23,9555746,234267,38.72,70593,74.84,17895,56,3,37.91
65,POINT (115.635950 -1.771635),77.74,59.26,219452,88.56,49.77,205094,188694,29.61,13.19,20.81,12.55,8415728,493684,41.81,398791,67.51,1294,42,1,93.27
66,POINT (99.480453 2.965036),54.72,86.52,753262,55.41,62.71,592569,204416,17.42,77.13,0.4,5.54,9446931,806456,76.57,21551,46.47,20595,76,1,77.98
67,POINT (110.834023 -2.562126),59.59,17.38,609890,91.48,41.57,579210,403951,46.52,18.88,46.1,83.84,11840190,792140,59.86,426073,34.61,10240,53,1,28.12
68,POINT (120.368277 -8.582375),72.46,82.17,622691,64.79,16.08,39574,565226,19.94,6.65,31.95,80.75,9014919,322884,96.05,381764,62.54,6744,25,5,14.11
69,POINT (111.035174 -0.055312),28.85,0.3,418900,67.52,78.75,437057,896090,68.95,61.45,26.36,55.26,7343635,735184,57.79,420490,85.16,21006,71,2,97.26
70,POINT (113.865245 0.079243),0.25,20.82,612574,88.4,11.63,214194,888093,17.18,41.79,86.96,58.62,13883712,483294,25.51,924974,80.84,15599,43,2,22.3
71,POINT (114.647531 -2.379302),90.5,75.53,896870,11.69,20.15,288105,11550,49.03,87.58,93.22,93.89,7510174,419987,75.2,975870,60.33,10521,74,2,28.6
72,POINT (132.909171 -1.590352),60.21,0.85,69189,98.07,48.37,586588,557961,81.28,3.12,70.23,97.27,9605285,975671,13.21,652088,43.99,23074,60,0,41.5
73,POINT (133.144393 -0.806275),90.89,67.2,150475,23.79,25.09,632429,507525,81.97,10.53,0.8,20.13,6062082,234567,54.82,354198,79.13,12815,56,4,76.0
74,POINT (96.558294 5.040320),91.47,45.44,954127,17.41,18.47,242743,724065,48.25,31.71,87.64,26.06,14347932,781221,12.92,262308,5.8,5287,42,4,17.11
75,POINT (120.095191 0.529616),13.52,48.36,784668,50.08,28.27,94863,519648,48.61,34.9,52.73,48.47,11916062,857896,16.22,286530,13.01,17978,68,3,48.51
76,POINT (129.860420 -1.898130),38.03,51.35,269604,88.95,30.32,113697,498878,36.05,68.72,43.85,85.47,12122763,935803,95.59,399475,54.26,24789,41,5,59.4
77,POINT (113.595326 -0.536577),58.16,33.02,289392,52.88,27.48,610916,531770,15.8,37.05,19.6,88.71,2471690,6689,27.61,603435,44.12,21595,51,3,75.5
78,POINT (101.789688 -2.880654),15.79,23.86,741812,96.74,51.45,789731,610851,61.75,97.08,68.28,66.28,2446681,985284,37.46,69554,67.21,10977,51,4,33.25
79,POINT (112.196768 1.375746),80.88,88.62,231071,42.31,90.35,517544,216085,33.15,58.08,54.11,24.56,10943865,694998,11.59,68083,40.73,21910,52,0,77.3
80,POINT (105.681756 -4.655473),51.17,41.05,893570,15.6,92.54,524434,11465,75.47,44.04,81.18,47.82,2721185,753700,46.84,425476,3.27,19649,41,1,44.15
81,POINT (104.569433 -2.533838),75.35,40.94,507583,14.3,85.65,440624,141186,65.96,54.47,26.31,54.1,1783598,675987,10.62,838381,46.96,3511,27,1,26.43
82,POINT (132.187893 -1.751046),9.65,21.58,799879,6.61,35.3,357687,534408,1.57,49.4,43.13,6.58,8217353,717405,91.21,174073,84.5,23892,46,1,14.97
83,POINT (135.549391 -0.706372),17.22,17.98,845676,36.46,29.13,390022,981598,83.9,19.69,30.61,16.81,12402388,661489,95.58,252117,70.67,19185,68,2,38.86
84,POINT (99.739523 1.841475),77.81,79.44,118305,48.28,25.19,256047,380592,18.78,19.64,79.14,16.43,6640286,529299,66.4,948549,31.7,6028,25,3,87.13
85,POINT (117.828520 2.336768),66.72,97.59,364484,0.33,13.99,544144,998166,22.37,84.81,1.09,84.52,11087915,731045,2.68,743201,69.91,24472,24,0,42.41
86,POINT (121.235137 0.666103),4.62,68.83,697873,56.35,51.04,581883,682107,26.84,6.46,57.69,73.61,7040839,849550,36.45,994507,63.71,17994,65,4,67.1
87,POINT (104.903594 -2.348348),62.53,3.71,986246,97.05,77.4,759944,647714,12.15,53.37,1.03,74.27,1851737,892240,52.6,103274,69.73,24790,67,1,51.97
88,POINT (112.745915 -0.801984),17.76,74.15,344048,99.32,87.58,217389,739458,90.37,55.03,37.61,51.53,13382197,111191,90.63,446146,78.95,16784,67,2,86.84
89,POINT (112.757666 -0.743852),56.09,22.92,766140,32.99,42.59,351913,819438,71.85,22.75,30.56,72.59,9380993,346030,6.97,250970,65.2,15531,78,2,91.99
90,POINT (109.483438 0.077453),85.5,89.35,698239,74.17,37.63,297294,612645,74.11,72.03,73.35,47.93,13724752,429419,93.06,879075,0.14,23657,51,1,53.37
91,POINT (113.531083 -2.729758),24.51,68.2,633700,28.64,25.63,98458,177734,31.82,20.65,64.56,9.98,12917988,373949,27.66,514873,32.01,7789,64,2,23.07
92,POINT (112.652556 -1.568142),17.63,86.37,925041,48.34,11.67,785944,196989,60.27,58.33,47.89,66.04,11768038,42815,30.45,618622,31.85,21541,61,2,24.67
93,POINT (115.341541 2.595326),6.07,42.45,711299,44.58,4.84,558566,822111,84.43,66.5,4.58,70.49,11520861,56672,86.67,96870,44.32,6538,36,5,0.32
94,POINT (111.250164 -0.484688),16.87,82.75,349537,61.74,34.45,545980,147487,82.24,99.6,67.55,87.74,12332258,635134,87.09,41008,64.35,18448,23,3,8.5
95,POINT (105.405183 -5.270695),40.64,69.54,125810,37.33,30.02,586479,924863,67.1,34.55,9.58,92.73,4815945,640414,76.73,144771,13.09,19453,20,1,99.83
96,POINT (101.031918 -2.296153),65.86,51.38,161310,66.99,43.04,873245,119694,9.43,64.12,74.43,31.85,11013605,794102,34.2,843001,86.15,24161,33,3,24.25
97,POINT (140.018410 -3.326297),90.9,95.55,184297,72.76,83.85,37420,108432,75.24,66.92,49.62,13.61,1583011,236393,14.61,500830,29.9,16914,71,5,52.71
98,POINT (115.626089 -0.005156),61.49,25.76,555111,85.87,82.31,681155,284165,55.03,12.81,92.42,55.52,3762585,408815,39.32,559225,66.77,24481,79,4,18.23
99,POINT (138.941967 -3.333074),52.53,68.67,324422,62.87,27.85,498422,744388,46.18,48.9,92.31,94.25,11218092,247829,9.61,573314,37.35,5171,40,0,67.57
100,POINT (123.205094 -0.804083),23.5,89.52,804218,0.58,17.67,745097,170353,82.64,41.95,58.0,40.5,3838224,958581,8.99,564662,28.79,18766,43,2,36.42
101,POINT (128.075357 0.562164),4.75,24.85,176239,72.33,73.64,576264,204287,83.14,61.02,87.19,36.44,3867167,909508,88.6,120385,87.21,19716,44,3,51.62
102,POINT (115.603905 0.476473),59.7,22.11,604837,44.58,16.82,985527,25624,21.11,65.55,85.06,98.62,7426585,507417,30.77,616552,10.16,23378,61,4,55.13
103,POINT (132.661443 -2.002159),35.73,34.52,375933,2.93,39.85,73539,93781,86.28,28.67,29.59,75.41,3239612,500647,27.72,858099,19.12,12614,27,5,87.15
104,POINT (140.073273 -6.703273),74.28,65.9,137970,37.48,83.54,673046,497449,54.58,86.05,48.58,68.82,11665766,788603,21.35,634477,26.36,15319,42,4,83.13
105,POINT (109.358255 -7.498123),75.33,49.71,376120,89.52,13.23,126126,13434,42.69,94.57,82.56,26.57,3304146,28550,14.31,669502,63.71,11227,48,0,22.94
106,POINT (136.428889 -4.580856),54.96,12.29,189205,54.87,66.68,388507,664479,3.13,39.07,19.63,38.71,12120403,818715,25.39,962882,6.13,8389,22,4,95.33
107,POINT (115.904722 0.095993),58.6,40.45,670984,4.59,26.69,151070,674237,67.01,85.21,15.86,54.57,12710739,125648,55.87,854927,40.71,6412,35,5,65.42
108,POINT (128.532463 2.544104),0.1,36.04,880087,21.14,5.09,345349,349868,86.54,51.41,45.01,91.38,11160990,268282,9.62,362347,86.09,11397,34,0,43.95
109,POINT (115.386191 -8.586384),78.85,72.02,425682,85.87,84.94,936862,542847,95.08,12.37,4.67,55.16,12857032,908730,45.63,239111,27.6,12600,51,1,34.74
110,POINT (116.375952 -2.036446),80.02,69.23,836920,57.73,90.09,29230,980898,81.48,25.14,84.14,83.68,10746963,166221,82.78,291580,33.77,22717,72,2,13.62
111,POINT (134.404633 -2.834354),93.89,41.42,388348,30.0,70.11,388982,882098,95.61,99.24,7.66,20.79,10188073,823953,54.14,46335,20.25,9680,25,4,62.99
112,POINT (119.566323 -5.496410),82.29,98.13,830892,55.08,35.06,168936,455848,24.7,7.85,70.41,92.1,13187269,942510,74.73,198500,91.82,8596,76,5,0.97
113,POINT (99.576949 0.385638),98.51,56.57,469173,23.73,97.21,265702,747912,8.91,67.23,23.46,55.6,7351986,526107,20.07,393897,99.79,5087,54,5,69.36
114,POINT (119.891058 -9.634442),43.01,53.34,60578,15.93,54.36,529794,796413,10.54,84.23,12.69,64.47,1202494,144027,53.23,116112,56.57,9244,41,5,24.69
115,POINT (115.874157 2.834309),76.46,39.62,579791,36.43,2.05,363030,358164,97.0,90.75,19.97,12.01,9442526,799374,80.7,420638,81.02,1104,80,4,39.93
116,POINT (102.136091 -1.158477),91.24,86.13,708205,24.77,95.73,759575,766456,43.05,9.63,28.26,60.26,4808536,45287,52.74,962000,67.06,11132,62,5,73.91
117,POINT (113.694665 -3.302423),49.86,97.36,600393,8.35,99.54,121290,725243,9.66,2.96,79.32,93.6,1827619,152830,41.5,860951,8.77,16619,39,5,25.65
118,POINT (105.977831 -1.581033),33.76,53.38,376289,13.88,18.59,498737,224509,47.5,8.27,59.28,9.48,9957674,939003,77.1,250142,66.52,3575,65,5,8.88
119,POINT (132.423317 -1.997607),64.29,42.35,176055,32.05,61.55,111573,449170,7.15,34.05,29.14,8.2,12435922,447590,40.22,319500,82.65,23561,46,4,52.29
120,POINT (103.725413 -1.980728),10.67,53.75,721055,76.18,3.9,802624,417649,90.69,14.65,54.62,70.15,4133170,537702,76.49,367169,68.98,5470,39,5,49.4
121,POINT (112.578641 -8.245062),96.84,45.45,937693,66.58,89.4,524477,321312,34.8,26.01,95.43,72.47,7343296,719476,30.92,537964,80.28,21383,58,4,9.53
122,POINT (113.786961 -8.429637),80.28,65.22,803238,1.27,55.22,474720,544342,54.61,47.21,46.89,62.97,5259971,576627,0.42,975757,95.28,3451,35,5,92.07
123,POINT (101.297221 -2.398060),50.1,63.42,514772,71.27,48.19,611461,633593,91.56,58.52,5.86,8.52,8570781,559575,54.53,882941,2.17,10654,54,2,41.11
124,POINT (110.823820 -2.517819),80.0,21.94,109454,18.49,77.03,69098,956579,68.74,67.58,92.21,72.45,1381203,940494,26.08,808479,67.84,4103,53,2,7.19
125,POINT (117.568229 -8.708453),64.07,24.0,697777,69.55,15.28,180775,783558,85.7,8.65,44.59,43.94,6301317,902146,44.67,613619,42.59,12767,20,3,12.63
126,POINT (138.920702 -2.633942),3.05,36.09,740216,58.57,91.13,214413,223156,84.66,80.37,18.24,9.78,4305155,361935,46.1,986659,71.91,5473,56,2,43.9
127,POINT (100.649149 1.001333),82.05,56.88,775693,72.08,6.76,642710,357558,2.45,96.01,56.98,86.93,9148545,685690,47.34,558461,46.33,9850,44,5,31.8
128,POINT (139.038467 -6.834325),96.58,88.27,449641,16.23,66.31,547889,769470,91.77,72.19,26.04,92.85,7919070,819478,34.97,79433,85.95,18622,76,2,14.97
129,POINT (100.811937 -1.273362),68.84,73.36,906631,48.08,6.34,59797,276986,3.86,7.42,26.43,9.83,5368094,140218,92.89,512895,41.76,6652,35,2,97.0
130,POINT (100.942188 1.993628),74.26,96.56,53212,42.31,96.03,252295,896099,21.9,14.55,85.74,28.69,2240148,36942,18.25,288520,62.57,6795,76,1,24.53
131,POINT (116.144440 0.419298),66.1,42.49,953897,12.8,64.67,876328,807577,32.2,17.58,60.26,90.15,6599774,702835,95.11,323606,36.66,11534,73,4,99.35
132,POINT (96.772421 3.906064),85.86,14.72,690914,94.27,82.35,682080,125780,70.77,7.78,93.45,84.29,8489307,315769,78.57,181266,4.77,7151,73,3,58.58
133,POINT (138.438447 -3.630192),0.73,37.03,192069,22.44,30.56,938251,692376,97.61,38.48,32.9,82.74,8139205,185247,43.45,92377,11.53,18916,49,0,47.07
134,POINT (115.637754 0.888395),28.8,53.34,634321,75.66,96.02,228140,813338,5.41,83.75,56.21,96.74,13059223,763361,89.65,703135,95.39,16753,52,0,53.46
135,POINT (113.409039 -8.298800),30.39,53.98,868160,70.23,74.15,521870,269153,39.91,39.18,4.03,30.97,1560205,786161,3.61,741111,84.64,5642,33,4,59.49
136,POINT (99.224561 3.353271),78.52,98.63,438117,91.0,37.42,221705,486669,31.55,84.4,85.4,82.59,11483487,908911,83.97,952978,16.09,5301,32,1,32.89
137,POINT (102.986235 -0.735078),91.62,7.14,713377,41.52,30.82,396027,491592,81.07,89.84,9.83,5.31,1912591,892605,89.16,852302,73.78,1202,31,1,52.02
138,POINT (103.819921 -5.025057),54.47,96.64,147416,87.91,98.39,725800,280034,46.06,97.72,46.72,81.02,10030957,197268,86.26,652080,52.28,3339,20,3,19.87
139,POINT (138.894665 -3.862442),19.4,80.94,836716,69.44,32.18,795518,610522,66.09,13.98,98.2,41.93,3036247,548673,21.41,222925,73.27,12851,54,5,83.92
140,POINT (96.715384 4.335939),72.61,24.08,541839,99.29,63.44,350438,798886,75.52,94.54,87.93,63.27,6539232,826047,72.28,870341,34.25,20523,43,0,14.39
141,POINT (99.948702 -0.169854),29.05,48.7,794948,27.99,3.95,380620,778598,25.22,93.45,41.33,71.98,5321183,16260,76.56,524576,3.15,14241,26,1,32.49
142,POINT (120.186825 -3.752358),29.81,67.68,198173,39.63,95.96,417151,576460,83.05,14.22,49.83,10.6,5004963,104769,14.95,475419,13.95,10882,23,5,5.24
143,POINT (122.348338 -8.692347),14.84,78.88,305250,43.57,88.78,747593,34889,14.51,37.65,52.24,69.09,11358744,610593,43.4,796867,20.18,17495,40,2,64.08
144,POINT (104.606136 -0.206966),18.33,78.67,345784,92.56,61.48,859551,559965,69.68,36.49,7.83,82.25,5532761,662760,51.5,830407,2.16,8874,57,0,59.19
145,POINT (113.136371 -0.928911),35.56,51.88,179310,15.99,72.51,354727,864525,83.2,64.05,90.94,3.66,5859375,486068,10.09,821251,51.73,6347,67,3,13.37
146,POINT (140.412861 -4.642999),4.21,92.4,34285,60.41,78.9,638424,509847,60.99,8.89,50.86,95.12,12859790,548612,5.45,813265,5.66,11363,66,5,17.78
147,POINT (120.294332 0.739326),62.21,15.21,263272,11.94,26.13,717634,19771,18.33,74.83,41.55,44.67,10255328,296645,37.93,447122,13.06,14826,21,2,33.19
148,POINT (124.488603 1.143239),68.77,70.24,83183,78.59,61.6,18984,370147,77.14,54.27,14.69,61.34,3160824,406757,36.48,294052,1.87,3800,34,0,91.27
149,POINT (102.332061 0.270565),49.24,7.18,994708,97.16,17.86,248856,229447,34.5,56.56,5.93,94.99,9789301,480494,78.86,714292,0.31,2972,68,4,39.95
150,POINT (112.185545 -0.055055),27.86,85.06,809453,59.56,85.88,138463,326983,73.33,93.67,68.97,10.39,10033255,655871,63.44,93058,57.06,4202,62,0,43.55
151,POINT (116.873531 -0.165651),13.92,46.75,154689,51.52,38.33,291377,539593,68.04,23.3,99.5,73.83,13907645,856412,63.56,613914,86.91,20600,56,4,91.38
152,POINT (134.404438 -3.779670),54.57,60.59,864905,35.69,97.54,350342,756322,21.21,28.41,8.89,27.87,11665821,29912,61.82,882032,54.0,17419,69,3,86.56
153,POINT (101.157074 1.964456),63.77,92.61,400657,63.78,82.22,177387,399947,67.38,15.31,53.79,85.1,8841300,233365,88.14,523115,59.1,21093,20,3,48.38
154,POINT (135.518254 -3.678338),61.32,59.81,70895,25.62,36.27,402831,266216,22.81,32.08,28.36,40.81,7195622,827842,50.71,348795,62.4,4185,48,4,30.23
155,POINT (116.597930 2.611302),9.73,23.02,114896,91.18,61.39,605371,744756,2.83,56.86,95.11,96.71,7911783,497423,29.78,196797,98.33,15846,29,4,48.36
156,POINT (113.449448 -1.463136),63.38,99.19,86698,89.85,70.73,359981,633276,46.47,86.25,60.5,55.11,1495515,588978,87.29,885370,96.11,15389,23,3,52.5
157,POINT (140.771904 -5.451039),30.07,70.94,535711,22.87,94.28,828146,526550,58.73,56.87,17.02,47.32,9812298,921945,44.54,314980,78.37,7619,63,3,61.57
158,POINT (107.953029 -7.423970),32.56,37.64,397761,1.2,19.33,699992,136965,19.4,51.07,91.3,65.08,5717777,958932,19.18,892819,46.57,2762,31,4,40.92
