id,geom,Health Facilities,Electricity Access,School Enrollment,Literacy Rate,Income per Capita,Death Rate,Population,Migration,Mortality,Average Age,Households,Registered Residents,Water Access,Birth Rate,Unemployment Rate,Internet Access,Employment Rate,Vehicle Ownership,Family Identity Card,People Density
42,POINT (105.712868 10.578792),109278,62.33,90.11,48.88,11433426,26.6,599304,95.58,86.19,30,347950,460357,52.78,31.59,92.99,75.19,2.15,0,290497,11562
43,POINT (103.220022 21.274732),968946,66.58,7.83,85.66,4679256,26.96,32700,87.79,47.73,27,363416,686446,96.04,23.14,93.94,85.86,49.03,1,157989,4089
44,POINT (108.846490 12.522639),425418,95.31,18.29,13.55,12753495,78.04,777309,30.13,3.66,65,164406,969067,50.11,66.42,52.13,33.84,27.36,4,983715,12360
45,POINT (104.478289 20.744764),153049,0.11,98.13,11.13,1995174,18.68,367275,39.33,85.04,48,447408,751520,85.71,32.12,72.23,49.79,42.21,5,44700,1728
46,POINT (105.890726 22.693003),218976,94.47,39.67,30.4,2464612,9.76,983293,68.47,62.97,53,78578,955710,30.89,16.71,54.67,95.02,43.71,1,373547,18195
47,POINT (105.717343 18.207023),551342,6.42,75.26,90.34,6365188,85.39,666449,60.99,25.9,70,99749,452201,40.01,81.72,32.89,29.13,99.55,0,991650,22998
48,POINT (107.332738 11.241035),848055,75.79,56.36,61.01,7784240,2.42,67924,7.19,72.31,62,713742,500198,9.1,44.45,43.46,70.74,18.91,0,843277,2672
49,POINT (108.323358 14.130285),361475,68.41,31.05,77.49,8849864,68.08,938386,46.34,6.94,79,73998,816212,64.3,16.18,35.5,75.28,67.56,4,580023,15554
50,POINT (103.554442 21.913970),991594,68.96,76.49,10.51,14700687,98.62,822588,1.69,56.95,43,27561,370115,20.56,98.58,2.42,94.86,49.79,3,119207,2648
51,POINT (108.498749 14.095243),540985,59.15,46.07,48.58,8864025,91.95,225810,19.2,46.47,51,692708,425248,74.23,26.18,8.93,11.93,84.83,1,701297,16750
52,POINT (107.630153 12.000782),788653,49.57,68.12,28.82,6733766,23.07,567226,9.75,79.79,51,983722,385870,70.9,96.97,97.66,38.17,47.09,0,332015,11244
53,POINT (105.908213 21.070945),323036,87.32,69.87,93.57,7156665,98.37,433488,67.79,33.44,43,445685,9212,19.09,32.79,11.74,95.19,16.03,1,770135,19109
54,POINT (108.116907 14.947882),420239,30.04,45.93,27.32,4627894,26.1,339295,15.29,41.85,40,375659,475142,82.61,38.94,36.04,56.65,79.69,5,399570,20704
55,POINT (108.654794 13.737340),57136,31.72,2.0,96.82,1595442,17.78,574864,53.91,89.68,40,46096,11223,91.88,2.71,50.28,53.08,93.09,0,810012,20482
56,POINT (105.236515 8.911512),895908,39.59,47.17,91.52,5977824,4.16,405924,77.71,86.14,57,490581,650911,2.38,84.48,58.5,47.71,4.67,3,577107,10334
57,POINT (105.177182 20.000183),812566,54.35,23.37,3.79,10352621,20.98,995992,33.05,23.28,50,81630,72096,90.72,71.34,58.71,42.57,91.96,4,912491,13311
58,POINT (108.421845 14.865503),572068,68.76,96.04,52.33,12663296,70.38,28520,72.23,60.74,76,15463,832317,33.04,72.9,13.73,43.63,41.04,2,892621,9522
59,POINT (106.310591 17.455269),820825,7.88,84.01,46.77,3750529,32.81,828270,69.69,8.26,65,439749,25663,9.14,6.12,39.15,31.94,96.54,2,346043,13956
60,POINT (106.826366 11.417962),683647,47.16,8.41,78.01,13003401,18.19,622797,2.23,70.03,40,72361,843849,62.38,0.45,99.4,13.16,57.28,1,280835,13295
61,POINT (103.695527 22.749791),876172,49.2,27.52,26.59,11093359,96.33,852506,32.49,35.96,52,873100,639045,25.44,77.01,40.01,4.03,88.73,5,129653,7660
62,POINT (106.785617 10.774172),524528,30.17,52.48,19.15,7557333,10.75,717330,88.8,50.42,47,976632,603961,89.11,10.24,98.01,97.92,83.39,2,761527,16647
63,POINT (104.087034 21.164469),170420,61.66,41.83,86.25,6579338,87.89,29942,18.37,15.62,26,4231,146619,55.17,22.13,61.46,4.75,6.84,3,673471,11259
64,POINT (106.450070 21.146553),831099,67.14,62.46,28.75,14117501,53.42,417440,79.17,84.21,46,503997,995426,79.69,30.23,72.23,9.32,23.51,1,426854,3752
65,POINT (107.916581 15.894824),212557,92.83,12.13,75.32,6466861,77.27,513377,31.8,85.62,53,812045,85566,61.42,91.86,51.86,17.94,28.98,4,430757,21992
66,POINT (108.215602 14.512558),602424,9.32,65.89,58.78,6341837,93.26,948180,42.99,74.03,31,481098,604172,57.77,28.55,89.54,83.6,53.23,1,150194,6927
67,POINT (106.862897 11.232616),330248,86.37,27.84,16.79,6965085,7.65,791936,2.42,8.42,45,537821,381774,33.08,62.0,35.66,69.59,43.49,0,17626,1710
68,POINT (107.111508 10.950629),576719,77.6,56.83,43.82,13712005,32.66,654589,78.13,74.62,58,924255,430257,35.49,93.83,18.0,24.88,48.33,0,953859,21698
69,POINT (108.180266 12.061603),56076,14.28,9.99,59.64,6085162,20.73,41484,41.73,14.76,67,394351,419584,62.9,0.89,43.58,25.13,16.07,2,489009,10908
70,POINT (108.023747 12.260940),773604,86.8,27.17,60.35,12326879,27.31,378569,56.71,25.91,42,350889,139345,44.93,72.24,46.89,24.25,67.01,2,166532,18163
71,POINT (109.052136 13.283476),562705,59.67,35.71,52.67,12619312,31.52,197640,1.79,46.61,69,488928,967349,36.69,27.72,74.76,47.55,70.11,1,85548,9286
72,POINT (105.001348 19.468190),527523,97.44,69.13,25.3,14504784,3.21,788365,27.94,70.11,44,273870,343263,82.85,97.19,10.01,74.32,88.75,4,112724,24599
73,POINT (104.028496 21.496101),590109,15.82,73.8,2.2,12196612,26.87,629434,93.6,57.54,27,379516,16337,9.25,4.36,89.64,16.07,0.55,2,343802,7242
74,POINT (108.059513 12.894286),823010,64.7,66.57,10.22,1630955,56.13,593870,77.84,33.8,32,313255,887903,96.32,99.39,8.15,63.57,2.68,1,318003,4844
75,POINT (104.623125 22.329633),540882,30.12,87.49,25.7,14480560,47.8,311933,7.63,28.19,63,964300,794846,43.07,34.09,98.54,14.42,97.49,2,977378,9772
76,POINT (107.372809 11.038364),438132,31.48,12.58,51.24,1777340,53.96,434699,67.85,13.71,49,370333,266107,2.16,78.7,53.1,42.49,92.59,4,612241,1861
77,POINT (107.471733 12.091254),98521,46.11,90.96,30.28,12285177,15.58,537015,19.19,62.85,61,80775,819385,49.15,28.98,25.18,95.32,18.27,1,480465,9057
78,POINT (106.026530 9.667329),195319,41.35,45.34,36.73,12736405,81.93,659942,65.46,60.77,59,819103,853954,73.96,22.18,97.7,14.98,35.36,0,561375,20446
79,POINT (108.767252 13.317893),161301,84.7,93.77,57.37,2419368,97.43,605822,21.26,81.95,50,499976,434458,78.48,33.51,73.8,10.8,25.92,0,41228,5632
80,POINT (107.824368 13.454830),716019,85.02,67.53,39.96,5138747,67.18,318714,53.82,27.01,24,36718,597214,45.65,80.58,22.03,11.31,45.51,0,581115,21369
81,POINT (108.232629 15.142873),359591,61.0,55.4,56.69,8803862,87.88,904223,15.42,22.07,66,144814,379076,35.85,90.77,78.04,68.78,86.4,3,487918,8143
82,POINT (105.049995 10.453547),148179,39.32,79.4,96.28,7366379,75.23,893101,58.69,29.73,78,455037,296512,40.8,45.85,52.38,26.63,1.09,1,728752,11630
83,POINT (108.405450 12.646932),633311,38.25,48.84,60.03,5596073,79.85,388443,34.57,49.91,69,82041,904991,89.54,91.95,10.78,0.91,94.92,5,273369,14114
84,POINT (103.644963 22.496484),577776,47.13,56.24,10.01,4383679,8.57,934814,66.63,90.24,67,118096,581266,15.28,98.0,42.62,47.94,48.88,4,624037,4066
85,POINT (106.847000 21.564618),176996,52.57,42.7,18.74,6025503,61.69,395655,2.69,54.05,71,22242,155645,66.47,44.52,26.19,63.09,72.56,1,691877,10397
86,POINT (105.199443 20.854181),638040,21.25,88.03,14.4,13002588,18.9,261972,44.53,75.66,43,988730,822151,82.04,10.22,65.11,38.94,88.09,3,937680,15718
87,POINT (106.154935 20.253570),9777,46.54,94.36,0.27,5830620,16.78,919432,41.83,38.43,74,14090,443435,56.63,2.61,81.76,19.82,42.19,2,679861,12254
88,POINT (105.194295 22.209229),958008,89.32,91.37,5.07,7519366,12.32,576220,79.89,52.16,36,558372,292476,34.02,10.54,77.47,68.16,18.11,4,626659,7933
89,POINT (105.771377 10.959700),562513,47.17,77.71,24.21,7382519,59.62,793486,90.63,77.58,22,290403,371567,75.2,85.73,45.25,81.41,88.51,3,485733,16630
90,POINT (107.593445 14.782789),131294,9.18,3.1,82.45,13786782,31.11,882937,48.32,71.58,22,597494,885586,95.28,88.72,58.73,14.14,96.55,2,566050,15840
91,POINT (105.271000 10.371102),243295,93.77,28.83,83.07,2423741,82.76,998595,98.04,1.84,77,808465,373505,36.43,9.43,40.19,89.45,39.16,0,489191,12234
92,POINT (105.061411 22.634045),322416,9.85,33.68,18.69,6033546,57.65,533614,53.24,59.58,29,654747,672747,4.67,50.77,64.42,27.79,32.75,2,502095,19115
93,POINT (106.403589 9.616315),81020,33.81,3.04,48.6,2811204,43.88,290589,2.71,35.79,61,317037,922843,33.24,28.82,9.9,52.76,18.64,5,201076,22165
94,POINT (108.744318 14.504322),279268,27.05,43.5,45.01,6534213,15.66,412125,31.44,8.78,68,519217,142686,51.41,49.77,45.61,53.08,62.07,2,389929,17129
95,POINT (108.828719 13.736933),58793,76.93,21.05,62.58,6638686,40.56,679560,32.53,5.37,61,955655,639328,14.23,45.42,7.36,73.83,63.87,2,540095,7110
96,POINT (108.974961 12.866000),486015,70.7,6.39,94.55,11006704,80.53,193050,45.98,63.95,50,361110,492303,34.58,34.55,45.79,67.86,45.18,3,256194,5914
97,POINT (106.139953 10.160380),518785,84.45,42.45,96.53,7552475,95.47,343747,63.62,52.99,75,336061,730114,12.08,77.83,1.08,39.64,91.71,5,48173,19181
98,POINT (105.130116 9.445235),412138,37.58,8.64,77.56,10997719,55.78,123492,85.35,30.42,24,38232,902014,84.61,39.93,84.22,69.38,93.94,3,480425,15315
99,POINT (107.009037 10.949740),987611,26.99,80.11,14.6,10247763,40.09,667436,11.66,90.04,34,534618,696289,65.42,99.96,3.9,17.96,4.21,2,9536,3338
100,POINT (108.650926 13.617996),448218,92.14,50.71,37.77,1273800,16.97,116955,39.75,92.17,36,542394,765812,46.97,94.66,28.99,86.39,78.94,0,652059,17105
101,POINT (107.693046 13.898349),198058,48.1,56.42,1.24,9691571,82.99,426079,3.48,89.57,24,346551,77334,73.23,15.17,14.87,68.19,62.33,2,744778,8278
102,POINT (105.164449 22.635054),586764,56.79,4.49,79.69,11735259,65.0,566314,89.75,60.84,21,495986,319740,80.55,40.35,29.49,65.17,78.28,3,561366,12980
103,POINT (106.366984 10.414031),100495,58.72,96.93,14.23,12183926,76.47,843059,94.2,18.24,51,481375,507122,66.8,86.69,33.28,89.04,99.71,1,362746,15315
104,POINT (106.033328 20.370104),233602,96.11,66.34,70.08,3910599,79.39,98440,74.52,1.91,74,757103,967201,5.69,36.21,46.36,9.4,43.08,5,980261,20869
105,POINT (108.169429 13.892007),469174,50.89,87.37,15.61,14654249,52.12,387982,41.07,30.16,45,373978,844022,54.92,83.85,44.48,78.51,4.36,3,655646,17761
106,POINT (107.976876 14.600631),288802,52.23,34.16,18.93,2277114,14.87,789759,12.74,15.95,34,22839,277837,40.03,50.8,24.97,52.13,3.34,2,833529,7141
107,POINT (106.242765 17.482647),333737,19.8,23.52,75.98,11864970,59.2,583154,98.02,31.17,39,428969,940474,82.06,41.73,92.1,93.43,23.57,3,318305,20065
108,POINT (108.412568 15.328336),583149,17.53,2.78,74.96,9147958,1.65,749489,20.22,80.11,58,331399,745864,54.08,65.5,83.29,62.5,14.85,3,50161,15287
109,POINT (107.651987 10.792322),218429,52.93,77.77,94.42,14401805,44.83,268433,6.59,31.16,56,136302,303237,63.27,42.45,96.18,4.75,68.46,4,715501,22004
110,POINT (105.662757 19.682363),622738,65.94,95.34,97.01,12319535,96.09,833878,91.87,2.0,28,204860,350653,14.88,29.07,52.57,50.45,61.61,4,915777,14925
111,POINT (108.311891 15.032354),608387,17.85,94.13,31.68,5219249,49.79,114338,92.96,24.79,32,520517,215877,80.17,34.76,59.8,43.59,25.1,0,856712,9111
112,POINT (105.619841 19.697213),680162,32.93,55.74,16.96,9519787,4.76,722692,83.22,99.95,33,549135,373792,31.68,34.06,55.59,6.73,25.55,0,277698,20813
113,POINT (103.250447 21.052392),277542,5.15,50.01,47.49,4656482,47.59,325179,28.17,15.65,52,538054,522745,33.72,66.91,68.85,31.04,0.46,5,847062,16383
114,POINT (108.428314 12.859644),774395,14.7,64.44,39.6,4319549,71.74,84954,27.24,43.81,34,149056,5126,3.57,66.43,23.3,41.07,70.71,3,187017,17281
115,POINT (105.273995 19.604993),493746,8.45,64.81,76.24,10725501,33.25,467533,53.96,94.33,62,867355,472688,88.66,0.55,58.04,3.98,15.17,0,413001,10238
116,POINT (108.738043 14.487333),245568,45.98,79.05,66.98,9720718,38.18,772144,96.41,95.02,35,113245,988110,51.9,65.84,25.08,53.29,83.46,2,97746,3062
117,POINT (105.261423 20.720035),43902,30.79,1.53,7.97,9866124,86.63,225906,29.46,39.41,59,605838,600122,22.44,6.07,45.98,6.49,66.25,5,500720,8800
118,POINT (102.830917 21.931322),510326,52.52,31.16,86.24,2432321,40.0,533372,96.35,43.08,20,932367,644090,10.58,71.15,22.85,33.47,2.4,0,864902,1693
119,POINT (103.317813 21.771134),965873,7.43,68.28,15.48,10794276,3.15,369929,59.81,62.49,50,152649,985507,31.33,22.93,8.14,63.35,90.2,1,439321,2582
120,POINT (105.755152 21.891299),10401,29.87,78.92,35.96,7857071,29.25,945968,36.0,91.2,71,551971,964560,34.68,82.28,61.92,72.49,58.34,5,435135,12433
121,POINT (102.587712 22.511862),592471,49.9,42.23,71.26,7238800,0.12,58573,23.09,55.86,31,106476,12526,2.81,22.91,97.16,53.44,53.97,0,670709,2986
122,POINT (105.178655 9.313211),553091,66.69,30.92,55.56,1899487,43.0,673121,44.66,70.1,61,532128,766036,86.92,23.22,32.74,64.4,1.99,1,660114,10470
123,POINT (106.146338 21.283784),102337,89.45,45.09,90.67,14623276,5.68,848411,74.02,13.64,59,868635,369738,43.81,79.39,25.69,1.31,17.98,4,935573,15810
124,POINT (107.440097 11.493443),191104,35.29,35.76,2.85,10118299,87.93,299856,37.46,20.12,34,111533,215646,5.1,25.27,88.14,58.15,37.2,4,422292,2216
125,POINT (108.006513 14.430954),653542,3.34,9.7,27.55,4701069,87.22,903462,69.91,83.38,23,604339,410048,35.25,36.76,53.73,6.49,99.19,0,762895,15474
126,POINT (107.981221 15.543527),815954,14.47,93.2,62.53,1698670,41.06,472693,53.88,46.11,45,346633,903495,85.64,27.13,30.82,94.31,38.16,0,553571,17190
127,POINT (107.208484 21.235095),32105,26.39,11.33,65.6,2488935,49.34,924547,50.34,46.37,75,99117,163188,91.34,5.83,19.49,90.58,0.9,1,513336,7975
128,POINT (105.656588 19.963457),369504,33.83,64.3,69.36,14788413,70.88,182288,93.84,30.5,63,570222,274219,92.07,54.76,83.06,49.49,61.58,2,528501,24916
129,POINT (108.026981 15.898017),674361,20.79,51.22,18.85,6359286,59.03,194498,89.29,79.07,65,681069,186533,80.57,45.31,10.27,26.05,87.68,3,233212,21486
130,POINT (104.252848 21.902328),229862,63.76,61.36,89.23,14127956,37.09,361317,15.93,82.41,69,365208,674541,68.14,34.0,46.25,49.58,30.02,0,572018,21418
131,POINT (106.779164 16.651059),370709,51.39,36.91,4.18,7043290,82.63,449715,49.18,19.96,64,707404,661412,46.73,55.31,69.16,16.97,74.44,5,910489,1786
132,POINT (104.466381 22.143062),989622,86.49,87.64,11.38,1864878,21.73,989347,7.33,47.15,49,525997,899117,95.89,83.2,78.25,73.92,74.24,2,75870,11048
133,POINT (108.023545 15.837720),617186,38.94,13.36,2.64,10593822,11.23,676541,37.33,34.09,51,763728,995922,0.08,38.12,3.24,62.41,41.39,3,229489,19985
134,POINT (105.910927 21.582750),483682,61.23,51.29,1.21,5043316,39.13,725060,55.2,68.67,27,26620,940038,29.15,62.31,0.44,61.91,95.38,4,347422,13124
135,POINT (107.542949 11.282153),666807,25.42,3.05,7.08,12604424,38.32,855434,64.17,13.3,27,510171,425667,32.81,43.31,15.76,92.39,10.55,3,63271,14146
136,POINT (107.979787 12.038444),222161,15.11,97.7,8.06,3122975,83.23,918563,23.49,21.63,55,387329,69876,32.0,55.7,52.71,24.33,21.64,0,958887,24075
137,POINT (108.956170 12.792558),19928,46.2,66.49,83.53,5814348,29.9,538748,60.59,90.84,41,558476,408945,96.38,30.72,92.41,81.53,36.28,2,865413,23127
138,POINT (108.176288 11.269041),864166,66.3,87.57,83.62,11283291,85.17,869512,33.63,4.79,34,138457,281592,35.14,41.74,9.26,58.1,38.87,4,414914,8798
139,POINT (107.652137 13.333696),979462,69.6,18.0,17.86,14963744,93.01,993219,55.53,21.95,27,493318,76921,68.69,44.09,68.97,30.57,19.58,5,986633,7942
140,POINT (107.907072 14.415478),499496,70.65,89.31,55.77,7066108,4.63,585239,61.57,40.78,74,857080,712643,94.22,68.23,90.98,50.98,70.19,0,709821,5331
141,POINT (103.989752 21.402717),807531,87.57,72.94,38.42,13725550,74.71,326458,35.77,30.13,68,51463,918683,1.31,26.59,14.59,54.5,9.86,5,614854,19115
142,POINT (108.268079 14.734221),575938,43.4,56.45,51.65,10600495,21.52,486068,52.57,29.96,43,728958,466020,48.86,40.98,76.7,40.86,74.49,1,25345,18000
143,POINT (106.719591 10.053986),89195,62.71,78.87,7.04,10972000,66.09,46883,8.16,54.45,43,474815,83388,53.26,34.89,21.33,28.26,70.1,4,496594,13466
144,POINT (107.864367 13.771473),454072,9.89,12.94,80.99,5542231,40.79,544103,84.73,36.17,74,425086,731935,50.98,63.2,4.05,17.38,50.32,3,60124,18493
145,POINT (108.201537 15.258381),355203,96.14,98.23,65.78,6582217,40.9,148373,64.99,0.9,23,434170,330011,47.55,50.82,44.92,36.65,6.71,3,715678,10093
146,POINT (107.869716 10.777599),440625,74.65,19.44,33.5,2066538,67.61,46165,48.75,99.8,39,737318,152885,70.37,60.31,81.09,16.32,38.31,4,197508,2970
147,POINT (104.868680 23.038197),966605,14.43,56.3,86.54,5962797,72.09,369178,0.68,71.74,32,683175,700761,9.22,93.64,78.38,88.56,83.11,3,182733,8798
148,POINT (105.502613 21.184307),959061,78.73,89.2,62.21,3126144,28.28,390189,99.84,76.88,31,339285,541657,37.55,10.63,8.2,79.35,30.41,0,12007,24785
149,POINT (107.200036 16.217715),687367,47.82,80.49,85.28,7299237,88.94,1399,6.28,59.94,47,547310,606964,72.71,96.53,53.41,61.76,8.28,3,711535,20896
150,POINT (105.639707 21.295312),23632,47.64,41.76,58.87,14832033,33.36,529421,22.66,7.52,35,671081,173072,99.89,60.99,89.14,63.54,71.71,5,36394,2645
151,POINT (106.017431 9.371228),7390,26.52,13.15,59.82,1068140,43.5,532473,6.35,87.51,37,687403,765858,96.33,18.63,61.5,9.17,91.67,0,472428,19311
152,POINT (107.963364 12.621624),242274,98.65,80.12,67.2,3149245,67.59,615418,60.53,46.0,53,842408,292557,23.16,21.98,67.24,30.5,51.9,1,579917,5051
153,POINT (105.084513 8.701004),978011,69.36,42.15,56.1,7270151,18.71,640068,37.6,41.42,69,257467,863703,10.94,87.88,71.43,61.7,78.92,4,682842,20718
154,POINT (105.791014 21.911445),453670,84.37,64.62,43.74,12392897,87.0,337200,62.3,28.22,51,308193,410247,2.59,86.17,87.11,35.01,0.07,5,997500,16945
155,POINT (105.362470 19.659809),86620,83.08,64.73,68.18,5389814,89.12,576135,30.46,78.73,44,553509,428683,97.71,10.33,38.24,49.42,8.38,3,929166,2855
156,POINT (104.980028 23.052894),165323,66.96,4.81,97.99,2985505,24.25,180440,42.24,72.26,65,754910,441204,60.08,36.11,20.66,9.87,41.01,4,341331,8612
157,POINT (106.849278 10.881805),470828,40.81,0.83,93.61,5620246,54.99,3089,83.43,36.73,76,882288,514214,30.68,53.96,70.4,30.1,62.47,0,832460,11947
158,POINT (108.833155 13.700349),244185,38.84,42.23,81.51,6013157,26.37,773430,74.49,98.48,38,652779,488809,0.28,85.35,88.27,9.41,17.01,3,853673,22658
159,POINT (106.266066 21.773735),938956,76.76,58.84,28.2,4137261,28.97,90004,73.15,72.89,65,15868,582763,79.13,56.94,32.59,35.09,19.76,5,121613,6600
