id,geom,People Density,Unemployment Rate,Population,Water Access,Households,Average Age,Vehicle Ownership,Health Facilities,Literacy Rate,Mortality,Electricity Access,Birth Rate,Death Rate,Internet Access,Migration,Employment Rate,Income per Capita,Family Identity Card,Registered Residents,School Enrollment
13,POINT (140.262176 38.755844),4307,60.17,894761,45.93,554570,63,4,698694,58.08,46.83,46.81,14.45,85.16,77.12,64.21,14.06,10648110,180019,650139,14.63
14,POINT (131.048442 31.923956),23676,50.27,85654,45.25,890909,65,5,392681,82.52,94.98,5.27,57.45,11.56,85.5,29.07,41.22,1253079,896771,490998,15.72
15,POINT (134.191016 33.771759),15294,68.93,2368,47.49,543062,22,4,882043,56.3,97.53,47.96,86.41,16.46,51.75,14.16,24.69,5457655,449417,821236,4.81
16,POINT (142.941661 43.979697),10443,35.71,317388,90.0,992684,32,2,777509,94.96,70.5,32.37,98.8,73.64,7.43,49.36,79.88,2306908,530105,78162,75.44
17,POINT (140.293072 39.261965),13592,11.47,345072,50.13,261056,20,1,69719,67.77,84.17,45.35,80.83,51.39,48.79,34.35,80.31,9519149,67750,920508,52.17
18,POINT (133.600593 33.882463),15303,13.69,871189,11.86,870610,49,0,504000,51.09,75.67,85.16,91.19,57.88,37.9,56.81,55.46,14869464,742607,582388,70.84
19,POINT (141.870136 44.926631),10468,34.28,765396,98.28,974698,61,3,18066,94.51,22.38,92.53,14.3,41.33,28.01,29.47,19.35,14529753,885160,936221,0.2
20,POINT (133.187191 35.218654),19993,17.49,695245,3.57,170182,28,0,199911,12.48,76.72,65.15,93.66,94.56,68.47,25.09,90.13,12798155,356828,821706,37.85
21,POINT (139.180409 35.725475),10461,74.76,848400,97.64,432790,54,1,45946,25.85,85.02,28.61,54.35,81.41,35.55,59.29,22.92,4653125,529822,728541,44.2
22,POINT (133.323909 34.797698),17799,93.29,456114,98.43,317582,22,2,84288,97.03,8.99,9.12,44.18,33.08,97.43,9.58,8.07,13466767,989546,503811,63.3
23,POINT (135.550993 33.958531),15223,58.47,346653,62.41,162615,69,4,290101,5.29,21.29,46.12,20.1,47.89,48.21,99.92,7.23,9122999,95689,787841,32.04
24,POINT (135.339480 34.720659),16567,4.28,542495,24.04,126018,57,2,862000,33.9,87.15,70.67,83.34,20.94,95.06,31.55,22.32,4539229,126171,786750,92.3
25,POINT (137.749447 34.752041),11318,97.79,125375,93.1,158135,36,2,289145,67.84,41.43,85.76,86.2,23.13,18.42,9.76,48.7,8916782,266045,396395,93.52
26,POINT (141.140515 40.636481),24945,59.04,853517,68.19,296530,32,4,708043,69.15,5.4,24.51,96.79,1.29,75.06,71.13,97.4,7723846,618752,625312,29.42
27,POINT (134.746373 34.910588),13894,8.62,652076,32.27,24073,49,3,133587,71.36,71.65,60.86,50.75,46.94,63.67,61.95,90.48,12562631,639213,254344,16.31
28,POINT (133.828194 34.631015),14490,29.44,597291,54.66,547987,28,3,722899,25.43,3.15,94.24,35.09,74.8,26.06,58.05,8.24,10099377,179697,903684,2.29
29,POINT (140.331051 35.439034),10533,69.39,851333,88.09,555990,56,5,20466,50.29,40.03,87.36,33.5,66.33,77.45,43.93,18.46,8983216,991408,763291,25.19
30,POINT (133.415992 34.546662),15364,16.79,54192,77.38,174176,34,0,113975,32.91,58.98,24.19,14.02,2.6,90.98,95.29,31.36,9749374,634268,655114,73.86
31,POINT (140.417549 41.676827),22262,16.4,805636,23.73,124656,30,5,817767,25.4,90.39,40.4,14.11,97.99,17.7,49.62,21.54,11539633,947596,169861,34.67
32,POINT (139.848684 36.730428),7261,79.52,413368,70.89,55835,32,5,288470,60.02,45.96,50.24,40.91,17.5,87.66,77.34,25.69,3896403,328560,856687,17.55
33,POINT (137.332333 36.356329),8223,38.68,175178,88.23,169683,33,4,914151,60.23,29.6,50.17,80.91,96.1,36.36,44.01,79.63,6377876,134141,472826,99.04
34,POINT (140.429546 39.563625),2087,20.0,922563,77.12,654414,37,0,381661,13.43,33.78,35.78,49.12,72.62,33.5,88.91,77.11,1472375,172800,442512,63.29
35,POINT (131.098226 31.733913),11643,85.61,671805,39.4,891854,49,4,567308,81.25,65.27,17.12,58.91,21.28,48.43,40.52,99.99,4466502,817965,27318,36.44
36,POINT (140.991155 37.646847),18599,69.81,228455,5.41,473628,46,1,302471,67.64,47.98,7.97,74.81,5.18,62.85,98.94,29.49,2069560,305851,584609,95.75
37,POINT (135.252902 34.773392),12544,19.83,610753,65.23,932125,77,3,839315,88.98,15.34,68.69,78.63,46.5,63.88,86.66,89.89,2074730,866373,83887,71.03
38,POINT (142.391531 44.180473),3224,82.89,295026,50.33,949480,23,2,229424,31.53,7.51,82.52,17.46,28.61,93.02,43.7,35.86,9453326,654341,166538,19.54
39,POINT (139.667172 36.040581),11927,62.59,830768,20.63,585741,69,0,294503,95.53,36.86,5.24,64.73,67.6,26.98,1.95,3.15,7036672,263529,156572,37.93
40,POINT (138.411939 35.886916),7819,83.93,32104,47.31,582583,39,2,484486,6.56,23.0,85.53,19.58,79.97,63.64,62.55,95.25,6152633,941862,450800,67.77
41,POINT (140.598754 41.913385),7555,67.15,1157,66.46,278496,40,2,573280,80.15,10.62,78.24,67.69,96.19,96.99,8.65,74.65,11082700,281445,232907,45.36
42,POINT (140.595295 38.430060),12735,93.07,89026,94.57,770065,25,1,814871,10.41,25.83,11.68,8.99,3.9,6.89,29.01,76.66,12141525,462180,438487,82.08
43,POINT (137.626006 35.886580),16068,97.42,340265,98.73,67338,70,5,665918,72.16,48.94,0.11,54.36,80.58,62.37,35.28,91.24,8774359,395750,354409,38.13
44,POINT (141.285857 39.466123),20910,67.01,517151,46.12,782538,46,2,121541,15.58,34.61,98.39,60.91,18.3,45.59,47.33,5.04,7400302,880703,614940,48.61
45,POINT (133.674022 33.912715),22984,71.08,189716,25.64,463509,31,3,90761,27.9,40.25,78.46,94.17,70.67,55.74,66.01,45.14,10825529,712385,544005,66.1
46,POINT (133.884753 33.996344),21987,25.78,774646,15.61,936343,39,4,833856,80.93,75.81,35.84,17.16,4.88,4.28,29.91,73.67,8676844,305821,189032,88.26
47,POINT (137.420075 35.503840),20527,34.23,437167,93.48,1461,35,4,766848,65.44,13.63,33.09,79.42,52.94,5.96,39.7,96.85,1277915,32889,707528,22.34
48,POINT (142.817483 43.171666),3410,8.87,978762,70.48,994591,38,2,694692,86.37,43.0,39.13,18.08,39.96,81.94,11.22,71.41,10400418,757536,195811,92.32
49,POINT (139.932822 37.686242),16943,78.93,120371,96.3,100159,44,0,845441,53.58,67.01,33.57,38.42,75.47,35.89,42.98,33.05,7665981,518746,5301,99.7
50,POINT (143.422255 43.694642),19455,18.04,408003,0.9,214556,60,0,433326,88.76,86.25,35.85,86.82,33.71,10.22,6.17,49.39,5657649,850152,635925,24.34
51,POINT (136.811325 36.128233),17993,75.55,384043,90.12,268542,32,5,742117,24.21,15.4,34.05,19.86,46.52,6.64,87.87,62.46,1418644,765052,285868,35.51
52,POINT (140.692822 42.740002),4463,94.34,240705,67.05,716423,26,2,571751,1.0,36.97,61.13,33.48,21.14,87.95,57.03,24.26,10748058,19065,3893,30.81
53,POINT (137.642501 36.968079),17736,59.27,904857,64.77,270801,61,4,791367,71.54,41.17,94.3,90.42,93.51,43.84,36.71,58.99,2909005,792367,97757,23.77
54,POINT (139.540448 35.554989),13448,40.03,340866,14.72,7088,67,1,78431,63.37,26.49,21.86,93.46,43.56,39.51,37.8,97.5,11062132,69701,5823,45.38
55,POINT (140.272255 35.959802),14461,78.81,104722,22.57,441463,69,4,268776,18.65,37.72,36.59,63.16,32.04,75.34,12.79,92.1,6920199,421880,602044,50.48
56,POINT (134.397755 34.984004),11529,48.72,158783,38.86,641621,77,1,601240,82.84,91.71,53.65,83.89,45.16,19.39,88.08,75.68,7415398,286514,679698,96.51
57,POINT (144.362848 43.582137),15916,0.04,837623,32.85,17499,41,0,973457,22.91,92.76,13.33,38.51,74.86,39.86,86.22,33.1,9839119,104660,310866,49.15
58,POINT (137.008684 35.570125),2739,92.86,496879,93.82,739064,20,5,853942,75.27,88.74,40.45,96.77,20.36,57.62,38.69,69.04,8042938,396409,866785,48.86
59,POINT (137.759434 34.777730),5362,75.27,578179,93.11,854987,32,2,691576,90.11,87.01,47.45,28.5,80.05,38.15,7.09,76.56,10319430,522769,732992,8.98
60,POINT (129.826655 33.271884),9295,44.48,982319,13.25,576133,43,1,101792,51.91,43.43,34.67,51.1,7.92,89.9,63.24,28.78,11170537,413008,183006,92.14
61,POINT (143.262693 42.850156),7493,92.97,233712,17.6,445007,30,2,518349,65.76,81.16,15.07,93.66,15.31,90.64,0.69,15.53,4806821,859212,419659,10.64
62,POINT (138.904643 36.019003),19557,89.03,210192,31.59,289747,78,2,689997,30.01,51.84,14.4,93.37,89.73,47.68,8.66,80.66,11815182,507770,776394,34.92
63,POINT (140.849612 40.126838),16301,84.88,579831,50.49,901153,31,5,459082,73.54,47.72,16.68,1.89,60.69,84.1,33.28,65.58,6592551,51841,127851,29.71
64,POINT (129.246763 34.153447),22609,22.98,595533,44.25,729264,47,5,265380,98.61,0.0,71.28,13.45,66.54,63.5,4.6,63.55,4937233,383228,647668,69.35
65,POINT (142.199090 44.345380),5107,30.73,403770,54.12,111337,78,2,422425,2.12,41.31,52.62,26.29,35.21,55.79,23.11,11.86,12248058,173472,127962,24.61
66,POINT (141.608441 39.534748),14200,76.68,122705,13.11,992778,23,5,703442,87.23,83.13,60.41,30.21,19.92,18.45,64.96,57.82,14576277,394275,28944,32.75
67,POINT (138.219228 35.811812),11048,29.28,594557,15.68,776007,53,3,803840,54.53,14.9,54.56,74.13,81.35,18.19,15.22,91.95,14819073,833592,457494,36.26
68,POINT (141.312767 40.664466),17894,65.47,197431,10.31,62886,72,5,358613,87.3,49.11,19.11,25.85,40.42,33.64,49.65,76.65,3207011,734754,180991,37.71
69,POINT (143.260746 44.263106),13982,59.46,676980,19.93,489467,79,1,188237,26.08,34.2,11.62,86.82,15.57,6.27,99.66,17.28,13857309,97199,408357,94.47
70,POINT (137.174781 35.464037),18619,72.56,892273,68.34,717401,55,1,7134,4.18,62.33,33.43,30.8,17.93,14.93,61.57,31.5,11187644,20154,428925,42.96
71,POINT (139.894413 36.831602),12108,5.15,112270,66.46,293393,65,2,54128,46.25,28.15,63.85,54.88,75.3,1.38,33.72,72.32,1771016,23373,933503,3.2
72,POINT (135.596933 34.465059),5762,11.06,895004,1.98,49227,21,5,526809,60.29,28.28,51.47,51.02,48.71,90.03,7.03,1.84,5308268,435667,532660,21.23
73,POINT (138.946759 34.953219),11948,43.55,206431,83.38,723069,26,1,97927,53.65,57.63,12.06,42.59,36.67,4.24,42.69,9.19,12534315,168114,234250,18.67
74,POINT (137.772023 35.610957),11218,50.22,53478,88.84,791849,50,3,70893,33.55,60.0,75.62,98.92,35.14,74.19,81.13,1.95,6426406,768737,886069,99.32
75,POINT (136.122131 35.037414),23964,88.11,801054,6.49,835607,28,1,657416,0.76,98.41,2.55,35.35,68.28,3.67,87.54,38.32,1345404,482101,869308,38.23
76,POINT (135.883220 33.914438),19190,65.01,226962,34.85,355758,58,2,749133,34.17,57.63,86.71,82.23,59.78,57.24,76.98,53.24,8144817,983881,82400,2.42
77,POINT (136.861439 36.440246),11221,71.97,867226,58.52,484133,22,5,553626,29.29,91.08,74.99,73.39,82.75,45.46,63.29,10.81,7209056,115072,132287,16.5
78,POINT (142.064808 43.991989),6758,6.83,286478,20.19,837615,69,1,236392,15.61,86.74,97.55,51.74,47.33,73.51,16.98,46.7,1340920,869429,351079,27.79
79,POINT (140.498761 41.971106),1124,34.81,156863,44.62,714264,57,3,826323,63.59,22.38,24.92,52.64,60.23,2.68,47.61,81.05,10582431,56769,14623,13.86
80,POINT (143.103830 43.554590),6771,22.05,584219,80.8,370385,48,0,783553,27.34,61.91,84.33,90.8,38.08,38.21,82.64,0.72,11094827,958296,84128,25.23
81,POINT (130.666262 31.981524),13572,29.13,343969,70.24,1121,80,5,974331,74.75,31.0,41.13,87.89,44.01,45.25,5.21,61.99,14157105,854504,18248,86.12
82,POINT (131.581092 32.972179),17380,3.97,315738,1.24,517751,70,2,290059,53.32,9.15,92.32,92.51,72.75,34.79,80.01,23.1,7843463,990057,352256,0.48
83,POINT (133.041088 34.233199),24984,76.12,386202,55.74,854311,45,1,172526,19.59,74.59,53.58,65.95,84.81,35.04,80.28,60.64,9091631,372209,57940,35.4
84,POINT (130.949588 33.519519),14020,66.34,445112,51.24,585423,70,4,454381,62.09,44.37,55.73,82.81,58.93,10.19,31.07,74.09,5272542,478537,43568,45.09
85,POINT (140.747097 38.987181),15764,69.99,136028,63.39,158527,23,3,337345,92.25,17.89,98.25,12.27,84.85,36.0,60.46,77.01,9027609,318548,490456,10.94
86,POINT (132.267738 34.463668),23541,42.62,488446,19.95,411455,47,5,112294,65.55,48.79,31.06,30.47,62.62,76.13,11.54,70.31,11734744,255046,306754,35.96
87,POINT (138.085372 36.049988),9495,72.92,437083,9.13,146059,68,3,759889,20.72,74.64,2.72,98.27,94.62,19.26,98.62,9.95,14371198,375293,209679,53.12
88,POINT (134.933509 35.389300),2423,12.34,245001,33.56,878917,64,0,557001,99.0,24.28,1.54,55.15,99.11,46.92,50.92,85.77,12999901,209456,151236,89.54
89,POINT (140.214337 38.678450),9923,2.37,834742,78.64,95148,36,4,210124,18.72,21.56,59.48,2.54,73.3,30.69,95.35,14.03,5472301,963323,706960,27.48
90,POINT (136.633137 35.878139),13108,51.96,336498,32.94,91886,73,4,302973,91.97,54.45,97.48,47.79,33.64,3.97,88.75,48.88,2619124,379667,850609,20.18
91,POINT (129.662619 33.208244),21114,33.77,194383,52.34,368624,24,0,137126,28.31,0.99,33.65,55.57,48.5,89.07,20.46,61.11,5210016,163091,555077,10.93
92,POINT (141.637986 39.533367),1789,8.79,754496,38.06,320923,44,4,845412,56.77,30.69,0.79,89.1,79.6,71.69,23.0,57.18,13838260,150055,41307,55.84
93,POINT (143.145762 42.267932),19653,40.45,732480,83.21,952175,28,2,299304,96.92,7.77,27.35,80.25,29.33,35.87,86.69,60.01,5874605,291573,686062,71.57
94,POINT (140.159426 35.381810),2785,63.31,558698,15.58,360162,24,4,646839,99.53,47.03,13.75,60.38,8.54,14.66,49.78,40.74,12262953,580463,10159,27.16
95,POINT (140.866889 37.406187),16867,64.05,127177,45.2,224670,20,0,958539,86.86,32.54,15.34,44.21,92.83,53.89,7.24,18.34,3390287,317453,150252,64.35
96,POINT (133.075361 35.442789),19443,77.16,79277,36.67,449854,61,3,117318,30.35,91.5,75.55,8.15,97.62,68.58,26.91,78.7,3835314,402245,757461,16.6
97,POINT (139.381262 36.969381),8997,71.41,581262,76.05,554805,71,5,866195,36.36,38.79,66.21,12.61,84.16,99.23,12.52,51.36,3621301,969194,755877,11.62
98,POINT (139.712015 36.701335),3877,32.75,644183,88.28,593419,60,0,624429,51.61,22.83,38.46,30.36,91.04,74.12,29.21,80.04,3181239,338291,179357,64.85
99,POINT (141.784057 40.303130),2488,37.56,40601,64.39,564063,38,2,391434,76.34,80.1,62.56,7.89,85.54,84.74,25.4,93.1,8860357,693759,397390,81.62
100,POINT (140.894678 37.001349),19823,30.67,482891,4.53,230191,34,5,457901,50.79,21.46,71.73,11.92,15.51,87.55,99.68,86.01,14997472,590381,251962,59.11
101,POINT (138.547752 36.449135),17537,34.35,722562,27.87,911556,80,4,838409,84.61,45.9,84.43,7.45,70.42,54.45,64.7,91.5,13878142,905637,612112,84.49
102,POINT (136.831482 36.676166),14851,18.08,893347,68.89,721551,76,1,270378,42.5,66.21,29.54,57.25,94.16,6.86,74.59,75.33,3205130,813597,991291,94.65
103,POINT (143.734616 43.951319),15649,13.69,968033,51.53,892551,23,4,332956,88.4,78.56,84.34,99.2,75.55,79.31,17.84,35.49,9286911,353649,322562,32.59
104,POINT (130.932667 33.483427),2339,24.05,125607,94.82,422174,60,2,917488,57.88,37.27,83.47,90.02,9.8,81.61,50.51,77.42,1089265,958231,389384,13.41
105,POINT (141.122143 40.384750),15192,22.85,408096,85.79,655759,74,0,513910,52.04,66.48,65.56,27.49,72.7,18.64,89.88,7.27,4592727,935496,941581,59.42
106,POINT (129.252474 34.184639),17336,73.16,277009,29.46,309768,39,3,850893,53.19,57.93,98.13,18.87,40.24,45.77,26.34,1.21,10578516,150401,165539,2.11
107,POINT (141.589974 40.070074),8341,71.85,62279,67.74,63810,50,3,353545,10.76,11.8,59.26,23.21,43.4,55.02,83.38,68.34,8710456,693904,62559,1.44
108,POINT (132.346474 34.811766),9156,72.81,116355,56.81,927438,26,1,582568,55.92,58.09,19.99,48.34,76.38,63.33,67.24,22.22,14565216,991588,283064,62.49
109,POINT (133.301988 34.463514),1262,37.87,707501,43.38,25398,31,4,717334,53.81,87.03,66.59,37.21,75.92,13.66,64.52,42.89,7477402,743409,80404,76.1
110,POINT (138.805502 35.485450),23173,57.18,395358,38.89,572814,72,2,631705,40.16,53.32,89.81,47.27,3.88,84.32,31.59,64.15,6532895,653280,567770,23.26
111,POINT (140.008529 36.243174),9660,13.56,230788,65.32,779189,62,2,975942,24.71,20.57,2.17,73.8,31.69,96.25,12.7,59.26,1271464,839152,116943,4.56
112,POINT (141.847210 44.864524),4427,87.47,218535,33.65,660112,66,5,52582,0.94,6.89,65.96,4.84,82.86,80.0,86.15,8.12,12016956,332933,20709,85.21
113,POINT (131.064348 30.751774),18440,99.99,949107,88.84,383074,67,5,596919,41.98,84.4,74.06,91.15,23.69,54.45,60.76,80.04,11597385,729177,882180,53.85
114,POINT (133.119983 35.384725),1626,59.24,906681,75.78,751185,79,3,99243,38.91,75.5,94.02,36.21,95.0,69.93,10.7,16.27,11010451,441332,474000,98.42
115,POINT (140.304501 40.038781),10790,94.2,76346,73.96,521598,27,1,61191,74.98,40.04,17.48,5.58,7.23,55.3,81.39,84.73,13756458,2278,18023,38.96
116,POINT (138.074349 35.241363),15350,25.91,918789,29.67,524869,28,2,175390,18.51,27.49,52.56,99.37,39.19,81.99,52.54,17.38,1362934,877458,821135,80.25
117,POINT (132.882564 33.100915),21470,18.62,186760,49.73,196860,37,2,121574,40.48,5.69,55.83,86.68,16.5,33.95,80.16,17.85,13019977,531508,869112,81.28
118,POINT (139.983372 36.968364),2861,10.02,444568,61.0,909907,59,4,433589,9.28,42.63,77.51,14.25,43.98,64.96,90.06,52.45,2138210,981607,388629,10.05
119,POINT (131.910387 34.601936),21928,44.71,954924,91.18,689468,54,2,450219,38.05,51.13,4.07,40.12,65.19,17.72,58.32,88.09,7210040,880908,895710,49.96
120,POINT (133.498555 35.005319),16408,3.15,715901,33.3,422172,79,4,746439,76.45,50.63,34.89,99.3,39.18,52.46,2.44,73.65,13725615,821771,311204,22.1
121,POINT (142.276371 44.537424),13173,76.35,847852,81.83,789871,32,0,255406,17.64,8.42,50.16,51.39,89.9,55.89,19.85,86.2,4142333,22645,686173,64.52
122,POINT (138.584849 35.178904),21796,91.16,900138,58.74,34925,26,0,492474,62.56,50.93,10.95,72.83,18.34,41.9,82.47,11.83,8153320,304339,861610,90.6
123,POINT (139.318901 36.481484),20586,76.55,769619,0.48,623466,79,3,268771,38.8,53.86,98.74,89.58,37.27,2.61,85.59,36.15,11458242,298878,89995,59.57
124,POINT (140.555274 39.388265),13796,33.78,303146,32.44,883857,21,1,498647,13.34,97.76,36.75,42.68,84.81,61.67,63.42,76.35,8413943,27083,702622,33.27
125,POINT (140.237956 39.580714),19320,45.62,929605,68.41,658529,61,2,565766,62.97,8.35,56.33,24.94,17.32,44.51,50.63,31.66,11485406,605327,279868,92.84
126,POINT (136.796541 35.320054),3137,97.26,100236,77.97,693652,31,3,695926,61.31,36.25,22.46,34.16,1.91,5.08,87.61,66.52,6649901,616201,239946,22.69
127,POINT (135.183122 33.911008),4061,6.13,55594,43.62,882955,59,1,697747,25.15,80.64,77.39,62.7,93.01,44.81,21.44,76.65,12908917,238815,892456,83.75
128,POINT (140.432009 37.996336),14711,89.65,22337,80.33,743617,25,3,448686,3.48,87.04,3.07,56.11,68.69,91.95,9.68,2.54,6799347,739603,436975,36.3
129,POINT (141.015268 42.539379),16164,29.1,701512,98.78,26277,61,0,190766,7.35,57.25,45.71,75.55,6.29,8.43,8.68,6.39,1286643,437545,323307,71.52
130,POINT (143.352738 43.087056),15508,78.46,495972,29.32,136912,60,1,912275,43.24,26.85,4.54,14.71,62.14,73.83,69.15,76.43,3804820,652238,524350,47.72
131,POINT (134.544210 34.044354),12140,41.39,98575,26.7,542990,58,5,21261,73.42,87.03,6.92,89.01,22.62,85.06,74.92,93.04,4186519,305905,201333,32.67
132,POINT (136.799592 35.113667),20651,1.18,166681,66.99,425345,36,5,532676,42.21,91.51,54.1,27.51,34.79,94.15,84.68,47.97,1866706,986273,630883,34.42
133,POINT (143.753485 44.051931),12748,28.94,157377,10.7,487899,40,2,958141,37.04,69.25,44.26,35.65,83.03,94.16,88.4,43.23,6744457,602161,760518,26.23
134,POINT (136.043203 34.216779),13105,75.82,997874,16.61,903630,76,1,331750,52.15,29.76,37.45,3.34,99.16,25.64,20.38,71.58,10117556,98841,37457,39.43
135,POINT (142.584210 44.580300),17817,67.86,466624,57.57,417701,41,5,937620,0.47,60.0,89.34,89.56,91.15,61.83,51.13,74.84,7788139,266973,327332,2.43
136,POINT (141.969402 44.933889),8147,3.62,362912,28.36,650060,32,4,81239,46.72,29.12,28.14,61.39,91.58,97.86,36.73,99.23,5518622,87712,933480,57.25
137,POINT (139.095749 35.816360),21812,32.33,660016,90.17,566632,69,1,988879,1.46,69.21,19.72,33.71,23.91,10.38,59.97,41.62,12804227,490644,182756,25.51
138,POINT (140.518268 43.216249),10162,2.84,574897,24.64,760141,21,3,498023,10.55,92.93,64.62,92.83,38.59,45.56,71.14,4.76,6683988,597696,166733,92.92
139,POINT (143.449643 43.423101),4490,70.4,420626,9.6,61769,45,3,290058,30.68,80.3,52.13,2.67,9.06,96.84,58.14,19.96,4572059,706723,210331,71.87
140,POINT (132.609976 34.773324),24037,67.86,24314,81.87,600320,31,5,624180,94.26,84.59,22.68,16.33,80.17,32.81,54.77,39.2,10290018,567578,147107,97.79
141,POINT (140.430991 43.297144),22796,17.21,550176,92.95,167005,49,2,387890,30.15,21.6,50.16,5.1,34.34,0.82,69.55,98.81,3935492,150746,860729,32.93
142,POINT (136.566441 36.432176),16178,35.81,605577,73.54,868820,23,0,554518,9.18,1.6,54.89,82.66,83.04,16.58,42.31,98.32,5041687,37547,775056,92.63
143,POINT (142.616629 44.502905),20678,78.82,974521,39.09,431646,27,2,892081,22.14,2.03,6.8,50.33,85.68,87.94,87.98,27.6,11050577,720813,451341,18.0
144,POINT (142.267420 44.315746),21863,77.82,509206,35.96,423499,67,5,122970,27.53,64.06,22.15,14.71,51.67,58.42,21.0,93.82,1253664,857522,210089,44.53
145,POINT (140.614783 37.120028),12252,95.89,385920,26.4,355711,52,3,307936,87.36,41.05,95.34,46.4,56.43,0.41,95.37,8.67,10500682,442291,343970,64.48
146,POINT (141.344337 38.615906),22005,65.93,802701,44.89,612806,66,5,533734,83.2,60.14,3.54,61.22,3.27,88.01,99.22,91.75,8494886,236833,376883,41.14
147,POINT (142.444334 44.957437),17381,59.77,319362,37.64,777954,56,2,935972,27.51,92.25,84.49,85.04,37.76,46.29,83.27,23.2,4411005,814110,32037,61.94
148,POINT (130.969211 32.476812),19844,87.6,427452,52.98,89818,62,2,901234,56.53,89.83,97.93,27.06,9.24,66.55,28.22,51.78,3341977,67033,195926,36.36
149,POINT (142.437623 43.859924),9394,65.72,661573,25.36,315065,31,2,249324,14.68,25.42,50.3,17.37,56.12,96.66,34.53,61.38,14669306,368551,41214,71.88
150,POINT (138.878968 37.066683),3047,6.81,788352,51.02,492390,66,2,767193,61.59,33.06,26.9,75.95,56.14,62.97,91.53,99.57,10646750,544139,665502,66.67
151,POINT (138.682339 36.853230),17605,22.93,408443,99.83,983266,79,4,342832,20.67,3.81,65.11,13.06,97.48,13.51,86.85,65.68,14271538,456225,54932,79.01
152,POINT (132.687005 33.421128),1397,17.83,158413,99.21,503603,68,3,231771,5.76,53.19,1.93,9.23,74.71,52.16,31.89,45.93,4106531,47565,212754,78.2
153,POINT (137.687007 35.140781),20911,50.2,328467,42.33,331666,45,0,45467,38.0,84.56,73.39,97.67,26.7,21.59,85.82,13.77,13571187,304726,279680,25.5
154,POINT (140.365369 39.549349),4878,35.36,363854,22.3,934532,35,1,522251,41.14,32.9,81.17,7.17,23.85,51.95,25.21,72.45,2811829,859210,436627,7.51
155,POINT (143.104656 42.765791),6004,87.99,279339,84.48,378751,67,5,790425,10.15,87.13,73.09,52.0,48.89,28.45,42.01,32.55,9449748,412719,714560,58.05
156,POINT (141.055285 40.717507),2542,78.6,961264,50.7,917080,62,2,804715,64.41,32.92,10.13,59.58,21.28,53.23,5.03,30.95,14414974,51337,774752,46.69
157,POINT (131.764836 34.436684),1770,3.78,80443,85.72,533554,75,5,389259,37.33,86.56,4.99,14.84,61.1,7.51,38.99,2.19,13493867,205494,398426,86.57
158,POINT (136.597755 35.053621),1547,1.34,543510,13.2,701644,34,2,890732,71.93,94.72,24.91,49.83,54.54,14.05,96.85,29.28,12148885,795096,568513,63.58
159,POINT (139.998972 38.685193),7843,58.69,822033,5.05,527521,57,3,71628,9.15,77.37,91.65,79.75,8.95,87.28,26.27,8.85,12432494,540027,557656,20.18
