id,geom,Income per Capita,Internet Access,Migration,Health Facilities,Literacy Rate,Death Rate,Registered Residents,Unemployment Rate,Vehicle Ownership,People Density,Households,Family Identity Card,Average Age,Water Access,Employment Rate,Population,Electricity Access,Mortality,Birth Rate,School Enrollment
54,POINT (116.248590 -0.378210),1216985,57.15,13.01,286507,26.13,3.43,85490,13.54,4,11520,717715,359037,43,35.73,4.85,778292,65.93,39.45,80.52,99.02
55,POINT (100.110229 1.968158),1550227,89.91,52.98,555281,14.59,96.01,319104,83.97,0,8365,218989,373134,71,61.56,39.2,506403,94.5,68.99,31.95,88.29
56,POINT (102.817654 -2.549687),1886004,67.68,57.36,932463,12.3,2.86,368130,74.97,5,23448,60655,853129,22,82.29,50.76,835221,12.66,30.22,30.39,80.6
57,POINT (140.127877 -3.780255),6561249,86.15,91.1,21941,0.31,81.11,253446,31.22,3,16118,838234,900072,39,51.52,0.64,127634,42.66,88.87,42.91,10.38
58,POINT (113.805850 -0.567066),2391311,28.86,20.75,65597,20.66,90.36,728219,28.72,0,22304,875685,58410,76,89.47,49.83,705941,30.42,58.14,32.74,83.73
59,POINT (111.365201 -6.951048),13412594,94.17,92.65,362149,57.5,57.51,346518,54.92,3,19560,180336,23561,49,34.54,74.67,360065,86.11,45.95,17.44,84.14
60,POINT (105.922947 -6.563865),6951306,51.01,8.15,264525,87.28,32.38,500315,34.17,0,10403,275178,86554,20,66.5,74.27,966283,13.81,67.86,49.54,33.26
61,POINT (98.094262 3.389939),4996273,14.62,67.43,315714,27.21,21.94,793493,90.98,5,2174,769192,571918,22,88.29,62.71,200114,72.57,93.88,95.74,35.65
62,POINT (120.139709 -2.893728),11367337,60.83,48.76,636042,65.35,0.53,65591,40.88,3,11738,755377,847850,27,47.51,67.55,598597,41.2,81.73,72.23,8.77
63,POINT (108.172228 -7.318470),6477442,67.65,61.81,138661,37.51,56.94,462475,1.71,5,2645,779771,588843,26,86.15,40.16,472248,51.67,91.57,74.45,99.95
64,POINT (137.466471 -2.180741),1083464,20.04,0.62,714714,73.83,61.7,385082,61.65,3,2257,46444,822121,51,3.27,17.3,685026,42.79,52.02,39.32,62.68
65,POINT (124.642551 -9.419437),7131179,16.53,9.33,584584,97.58,82.27,82985,40.95,1,12986,268691,897858,59,92.43,15.21,465434,55.74,19.45,82.63,17.15
66,POINT (105.723948 -6.790750),2783946,21.58,76.29,150772,8.47,48.21,816848,23.46,3,11636,950108,659974,36,35.2,67.38,751335,52.31,18.61,68.09,47.88
67,POINT (110.893689 0.956878),9941611,24.72,95.8,159882,55.41,31.56,746667,9.86,3,22190,635511,394688,22,63.13,62.07,255991,5.4,38.69,31.54,25.12
68,POINT (116.728857 0.784473),13205836,54.05,32.29,774694,75.56,75.97,972247,74.75,4,8761,123067,709342,50,16.39,91.54,478186,70.35,14.86,33.73,24.12
69,POINT (119.388153 -8.721374),2921550,1.14,68.46,167023,65.47,33.35,490152,42.48,0,16025,427026,356629,72,34.55,79.1,967231,88.6,73.59,39.09,43.29
70,POINT (100.377418 1.131304),12792513,59.4,63.65,366724,32.03,67.06,572050,4.0,0,7071,977116,963715,57,47.6,18.33,915841,94.36,93.74,38.44,16.97
71,POINT (104.518937 1.089894),3170403,4.76,5.55,523318,59.7,64.63,649480,58.04,0,24129,663075,261327,78,31.01,68.2,494486,51.41,17.3,41.33,2.29
72,POINT (119.891915 -4.425721),8825957,57.07,36.24,84680,91.8,83.42,370726,34.87,3,1836,452245,484269,22,74.62,92.1,349563,66.3,11.84,95.41,91.98
73,POINT (117.445166 0.726407),1815186,98.87,13.95,598913,13.37,92.66,365227,71.58,0,15903,711238,910101,44,66.06,48.75,175730,40.23,5.87,82.38,61.79
74,POINT (113.302421 1.007596),7697403,1.44,32.67,31630,71.5,82.29,361876,35.82,3,20114,386998,48824,39,97.59,47.59,354882,94.36,78.49,36.93,60.49
75,POINT (133.940000 -2.740286),3955922,80.86,92.16,404331,93.36,28.75,505994,86.05,1,2730,666565,306731,64,23.42,11.62,397293,88.17,2.57,85.64,75.1
76,POINT (102.114624 -3.525174),8770319,47.58,89.27,754976,76.11,47.53,374801,21.08,5,17436,309171,945748,22,76.94,63.01,123460,69.8,65.23,13.61,9.18
77,POINT (139.571277 -7.841367),8449533,64.01,60.59,302297,82.46,94.1,758042,0.1,2,1680,462620,656234,21,72.83,34.87,242212,42.79,64.71,26.97,61.06
78,POINT (119.671790 -0.786868),6188833,18.62,93.75,376794,81.91,23.46,720037,80.38,5,22473,225655,266848,71,2.38,43.11,277068,50.44,85.13,29.48,61.48
79,POINT (102.831293 -0.775198),8035380,16.13,30.92,120006,81.16,11.05,330400,85.41,0,8717,216728,405418,61,61.56,29.26,905146,38.36,86.04,44.51,50.77
80,POINT (97.781995 0.835878),6152541,5.62,36.38,150034,44.18,21.55,302978,93.15,3,23492,210830,661127,24,40.93,39.82,935250,71.89,25.52,61.31,69.32
81,POINT (138.000890 -4.583622),4739472,51.95,40.02,77024,20.2,73.47,826731,60.5,0,20106,677463,237565,26,84.34,76.38,344479,64.23,20.17,97.24,99.95
82,POINT (110.634989 -1.423629),1492599,83.94,39.53,944948,62.91,15.62,66256,85.54,1,2936,531213,651392,54,17.97,27.75,488622,28.83,84.95,34.73,56.59
83,POINT (110.512953 -7.133897),10241519,65.83,58.63,755076,81.48,18.92,122989,8.96,5,7886,778655,654274,76,80.43,98.63,318376,23.8,20.81,12.82,42.04
84,POINT (138.899005 -6.048698),1688643,18.12,68.65,410544,14.08,55.87,343987,76.63,1,21173,865344,803627,34,27.35,87.02,551093,56.66,79.23,45.86,62.44
85,POINT (119.351798 -2.585570),13829626,66.92,85.31,33742,77.11,49.96,954640,15.76,0,5583,548761,630711,48,20.82,38.88,764789,32.73,25.68,36.66,0.92
86,POINT (114.646963 -2.921269),8229609,78.05,20.46,688497,12.86,16.12,324072,59.16,0,12058,325367,797678,53,34.18,19.22,313002,65.51,46.61,73.5,15.15
87,POINT (134.793173 -3.257080),6979793,71.88,21.42,19072,90.96,88.96,554862,37.27,2,23762,880466,644287,67,79.87,84.53,975816,51.51,70.74,72.73,14.42
88,POINT (135.467427 -4.402288),14544382,17.9,72.3,712868,95.29,82.94,7797,19.28,2,23605,820893,551069,41,8.28,64.21,597786,81.89,21.95,95.91,84.05
89,POINT (140.926161 -6.134261),11016602,85.06,95.34,160679,41.84,83.05,400145,19.69,3,15693,106253,649498,56,26.89,10.17,547613,72.3,53.47,6.48,76.23
90,POINT (133.298120 -3.773467),1004865,7.38,4.4,17954,56.55,61.21,82155,41.21,5,9890,603952,937501,73,25.0,62.98,760314,45.54,18.96,24.05,11.06
91,POINT (103.735968 -2.723147),8502120,99.27,67.81,238597,70.37,49.71,878450,88.35,0,4932,756719,671430,71,74.94,62.65,263652,72.16,94.9,56.37,1.76
92,POINT (138.343918 -8.404182),9426238,84.93,30.43,73036,98.6,27.04,444349,26.54,5,22571,971110,881355,59,54.09,28.61,609727,8.54,34.94,27.76,50.14
93,POINT (99.687126 2.158568),4255286,20.14,78.0,305713,73.58,65.16,915833,56.18,3,16413,10035,452876,25,83.1,78.97,372706,36.16,80.41,14.99,43.55
94,POINT (113.840195 -7.988636),5951456,33.83,37.67,376183,47.97,18.84,669903,92.3,2,19887,786619,963867,48,54.58,52.55,834703,51.54,51.64,65.23,46.6
95,POINT (106.131802 -6.426736),6131574,91.91,20.48,113260,77.5,83.14,945786,34.15,5,11101,32844,815858,64,56.33,36.25,792406,19.59,45.76,27.14,28.9
96,POINT (140.835894 -4.114781),6918732,46.35,38.36,89699,42.02,60.3,805335,98.21,5,3498,646634,397890,33,62.32,84.28,277875,32.24,53.88,29.25,35.64
97,POINT (99.230083 3.259102),13060053,14.37,72.24,671000,83.3,3.5,9058,48.72,5,13850,175767,856599,73,73.41,96.19,145006,46.01,8.19,38.38,48.53
98,POINT (127.561465 -1.562226),6169748,80.98,73.1,668724,68.21,55.59,934748,38.17,1,20000,815152,76059,55,85.05,13.96,398189,13.4,35.55,56.14,29.63
99,POINT (115.662523 1.847940),13597927,77.97,78.21,429678,92.22,50.68,235593,51.5,4,18490,671099,652769,21,88.99,67.36,666604,30.29,67.65,67.28,5.67
100,POINT (107.786025 -7.396663),6613469,75.21,80.37,535459,8.92,66.27,497208,56.32,1,9144,901801,594889,65,59.58,57.7,844538,79.71,79.05,27.87,20.3
101,POINT (96.523733 4.654088),7558177,20.33,65.56,991214,65.49,2.09,646181,0.53,4,24518,380858,371508,41,46.71,5.11,267528,50.86,95.72,42.5,83.99
102,POINT (136.872838 -4.336886),9628877,89.24,12.53,91536,9.9,20.93,346146,94.99,3,17837,496212,124187,72,29.73,23.52,135482,64.01,47.55,71.96,86.63
103,POINT (109.454681 -1.172270),8649953,58.29,22.85,28661,58.07,35.97,326374,41.96,4,9433,304073,171379,68,56.67,95.53,517087,5.08,25.31,96.51,7.5
104,POINT (108.467107 -7.708955),9989287,85.18,19.04,282091,17.72,88.05,854804,52.05,4,4864,778964,909690,77,30.23,97.47,913676,47.75,79.42,67.48,25.04
105,POINT (103.644749 -2.264326),4817813,37.67,93.89,97160,6.54,68.97,654520,84.69,3,2570,65823,240791,77,89.63,17.34,633121,72.2,30.61,11.21,72.38
106,POINT (111.735999 -2.314707),5046714,91.1,51.09,310962,25.5,21.05,501840,68.36,4,21417,992296,796561,62,85.6,99.89,645496,20.18,26.94,67.59,44.85
107,POINT (138.179634 -7.531922),2832692,80.31,23.09,371271,94.99,24.02,866252,7.64,3,8703,62012,906604,68,40.51,42.59,667249,17.46,54.03,12.88,97.14
108,POINT (140.131980 -5.944962),1292881,95.14,69.87,889021,27.31,3.45,576906,74.62,4,18553,845834,515252,30,1.5,87.36,441512,37.45,54.43,33.89,28.02
109,POINT (104.038139 -1.695214),12388861,96.42,36.54,732851,74.1,2.12,523525,7.61,5,10800,857201,855786,55,11.19,13.26,295570,25.07,72.86,58.17,37.31
110,POINT (113.653834 -7.738516),3714266,32.2,13.09,181695,3.25,71.35,563916,67.2,1,2878,147514,534027,45,59.29,16.62,774930,47.74,49.53,3.29,31.23
111,POINT (113.556028 -2.829221),8682409,14.59,6.87,586426,48.78,73.43,83314,81.07,3,16189,567711,418441,55,91.79,47.18,139269,73.79,15.87,4.96,25.11
112,POINT (115.503439 -0.123997),7682472,99.61,37.27,830456,43.98,51.38,625821,30.97,3,20543,926643,299726,26,37.26,98.9,360118,62.65,17.5,34.0,67.61
113,POINT (106.280245 -6.748377),14143318,9.62,28.63,376297,67.56,6.0,650355,48.37,0,22746,966880,431207,65,94.27,34.93,573894,97.37,89.61,54.12,30.49
114,POINT (117.771188 2.493125),10801953,0.24,71.08,235040,21.81,68.24,166148,6.77,5,17746,666107,247349,68,34.73,40.56,456523,44.53,70.01,88.21,0.61
115,POINT (105.631739 -4.044871),13728742,68.57,61.31,90555,83.81,88.66,611071,80.71,0,5795,644901,997001,28,85.83,76.89,348052,75.32,97.78,84.06,44.22
116,POINT (111.707885 -8.084977),7907404,1.02,91.6,347306,17.12,69.77,485736,51.61,2,17412,337372,251932,23,66.38,89.08,279739,23.01,31.18,32.61,39.57
117,POINT (132.935284 -0.921271),7585507,64.44,85.19,33739,45.65,49.86,384959,38.79,3,5682,55246,400109,30,80.49,35.9,715293,25.23,96.51,41.77,41.4
118,POINT (139.104434 -2.056823),1233789,82.79,45.52,677681,73.22,50.6,722389,20.6,1,18705,751975,558471,31,62.25,75.36,93432,68.25,80.37,98.0,20.29
119,POINT (100.165470 1.976782),7478846,17.55,62.9,646262,28.28,54.8,817351,62.63,2,12385,98031,851876,29,26.29,90.8,852257,70.5,78.03,15.57,71.59
120,POINT (101.537833 0.196598),14306763,33.51,64.99,882783,37.63,64.83,69205,86.09,0,5121,559422,344621,53,46.19,11.97,860809,15.28,38.76,37.57,15.08
121,POINT (106.021209 -6.022564),4912493,31.68,94.0,53716,51.87,57.69,396638,38.07,3,22033,255303,847856,65,69.44,99.65,780529,77.0,56.05,72.3,40.21
122,POINT (113.283955 -1.266243),1002877,66.6,25.52,84273,83.8,51.14,531492,86.15,3,6550,564743,382482,63,74.42,74.11,177485,58.11,74.07,43.65,38.2
123,POINT (139.311280 -2.578528),8817057,32.46,49.34,368512,46.51,33.69,258532,74.17,2,2585,980492,943329,53,93.83,79.72,534097,99.77,70.84,68.78,72.5
124,POINT (103.242333 -2.364667),8738163,32.79,81.43,971851,63.21,62.0,705655,9.87,5,2752,65111,781754,46,39.31,33.25,776246,20.95,82.29,91.31,27.03
125,POINT (97.067615 4.573823),3641944,58.87,38.07,393354,12.59,26.15,706390,78.28,1,22353,90764,23049,28,18.11,9.69,69334,10.79,79.23,88.36,58.43
126,POINT (139.106710 -5.331134),12377754,5.16,53.99,61793,67.48,75.83,208106,54.07,1,10209,242678,447733,49,50.51,37.9,475706,83.79,26.31,52.62,95.81
127,POINT (106.129381 -2.839026),7169524,4.33,6.49,168248,63.01,90.94,649636,94.74,5,21109,933846,498718,62,50.23,28.87,967496,86.44,9.02,52.13,84.95
128,POINT (101.119395 0.784100),14139257,92.6,28.16,517758,14.71,21.12,147352,67.45,1,15790,544894,836769,58,48.14,91.9,842240,49.43,2.82,19.69,97.34
129,POINT (101.668002 1.084290),13019865,95.63,59.05,267920,76.12,70.48,131856,79.91,5,14211,850410,157199,48,38.86,45.58,516364,11.85,6.67,4.47,75.49
130,POINT (116.147737 0.471022),3648580,52.21,93.23,866554,56.7,42.02,281197,22.3,0,22248,851808,596185,22,14.76,50.62,149996,54.91,16.29,13.0,21.17
131,POINT (123.740702 0.766752),2992309,12.21,28.38,274911,8.16,20.34,71196,71.03,5,3442,434496,543225,42,68.69,53.44,777418,21.58,22.28,77.84,78.87
132,POINT (111.322082 -1.585900),7282486,77.66,19.86,608428,40.21,83.41,453413,40.79,0,12698,642539,681698,42,16.17,34.9,344206,58.08,12.89,15.22,61.92
133,POINT (102.538560 -0.830020),11737039,8.3,19.63,730524,0.47,80.26,96358,86.8,3,23763,536628,592300,45,54.78,29.08,907491,13.2,90.32,21.99,16.03
134,POINT (139.287922 -6.326347),9410559,1.34,4.09,892301,5.24,87.61,946522,70.93,2,24974,505533,561948,63,7.45,14.04,358397,44.67,18.8,42.04,11.96
135,POINT (101.224957 1.202109),2649443,19.12,80.74,865116,46.43,9.22,460843,13.79,3,1991,937603,614645,20,22.04,71.68,810633,36.95,99.0,37.61,33.56
136,POINT (112.748094 0.250578),8993655,69.47,75.96,923470,18.29,14.81,743072,51.72,1,1687,438415,371408,64,23.79,38.51,6963,5.45,72.84,83.1,65.71
137,POINT (132.372080 -0.501846),13355556,95.75,68.45,648938,45.0,83.73,428824,17.8,5,18645,738948,213226,68,2.92,28.43,851830,75.09,62.11,38.59,5.21
138,POINT (110.750961 0.541080),3343405,50.23,8.43,376680,89.3,16.93,131408,38.77,3,8364,978316,641192,74,30.32,8.11,532789,2.67,64.68,16.1,99.86
139,POINT (135.873052 -3.907404),14660017,99.31,52.02,460748,13.15,5.67,606813,2.98,5,3683,105435,501854,30,9.11,1.1,416209,95.13,10.32,5.26,90.0
140,POINT (111.127733 -6.856107),4665915,59.48,21.02,632551,53.35,4.01,919147,76.63,3,8629,499848,52390,37,96.65,16.88,131564,54.29,9.79,30.51,2.63
141,POINT (101.298977 1.694002),8029805,84.48,61.57,810880,7.99,39.5,224438,43.95,5,7914,620204,796756,43,13.7,77.57,570164,38.27,19.02,94.5,95.63
142,POINT (116.109830 -3.376173),6844522,42.77,19.49,252793,54.56,38.67,548805,83.46,0,12837,255293,19654,43,34.69,12.75,301844,40.92,69.26,9.13,79.0
143,POINT (113.570420 -2.021326),14465421,84.23,12.04,623692,31.64,4.56,542532,3.22,3,22892,854105,26714,80,15.29,5.02,740254,79.26,54.86,90.27,59.37
144,POINT (107.783356 -7.635535),3274200,18.6,79.31,836925,33.89,57.08,881262,59.86,1,8941,611462,704899,28,35.79,37.47,629251,27.54,49.42,21.09,79.85
145,POINT (111.084110 -0.835375),13103763,40.41,49.49,466916,7.11,2.98,239321,4.3,2,22163,243586,712622,57,65.19,12.48,308017,90.03,31.46,70.01,55.56
146,POINT (107.369661 -6.388379),9275170,80.49,30.86,346590,22.76,57.31,589813,77.65,4,3722,814226,37527,40,33.11,88.63,98426,55.51,46.44,32.38,56.5
147,POINT (102.935247 -3.612288),3595599,57.36,9.41,516527,2.17,70.37,730900,45.7,4,4039,119871,877051,20,30.76,20.93,264945,56.87,79.04,26.61,0.61
148,POINT (110.974500 -0.354702),10636901,71.24,8.7,830933,7.97,94.78,4047,49.01,0,3261,282701,678932,62,16.24,92.62,571994,80.79,20.01,63.1,76.06
149,POINT (129.746729 -8.035366),14532031,15.45,75.21,851630,95.01,35.16,814577,58.6,0,1260,511768,319261,51,67.55,66.31,789853,39.09,5.0,14.57,17.22
150,POINT (97.370064 4.347821),14869066,35.07,12.59,277714,59.59,1.34,609946,73.47,0,20912,106051,905073,60,85.87,7.23,278174,62.23,21.12,27.59,59.72
151,POINT (135.855451 -1.031315),5609562,57.19,11.6,785865,97.69,23.44,150112,74.01,3,22071,688061,363463,45,23.94,22.86,534569,30.24,2.03,98.26,88.68
152,POINT (136.155881 -3.308958),3202629,36.39,7.0,380469,83.51,1.93,859671,24.36,1,2439,617814,853761,66,47.36,61.39,133961,23.96,84.07,56.41,45.6
153,POINT (136.446932 -2.990498),7303767,66.07,40.7,674400,75.22,65.44,507686,38.84,3,14358,563959,425596,25,97.41,9.43,668090,17.66,75.4,31.32,49.96
154,POINT (120.959782 -8.728065),13010296,89.17,33.38,385401,86.11,18.05,147408,86.6,0,21447,288122,443378,66,97.97,37.07,467605,97.97,87.76,95.59,3.86
155,POINT (138.699047 -4.881798),7919256,71.42,40.98,269639,7.3,42.7,795503,81.55,4,15897,191258,214863,63,12.45,16.07,21208,42.43,97.88,62.69,2.79
156,POINT (101.205568 1.271204),4451730,48.97,21.3,43557,3.81,72.91,922833,74.04,1,3518,412265,240022,25,2.82,51.44,946767,10.56,59.95,99.17,95.62
157,POINT (120.075706 -2.674861),12123611,32.52,29.84,299860,30.36,59.58,269640,60.98,2,20193,144412,328375,61,14.14,26.74,92152,69.15,56.34,26.77,68.12
158,POINT (117.210173 3.302656),9748454,40.88,40.23,716512,64.53,14.7,726403,47.96,2,3377,10509,853423,36,74.11,26.74,176126,94.27,33.02,68.08,79.13
